,Year,Lung,State,Gender,Race,Cancer
0,1999,87.7,MI,Male,Black or African American,Lung
1,2000,77.7,MI,Male,Black or African American,Lung
2,2001,80.6,MI,Male,Black or African American,Lung
3,2002,77.1,MI,Male,Black or African American,Lung
4,2003,91.9,MI,Male,Black or African American,Lung
5,2004,74.9,MI,Male,Black or African American,Lung
6,2005,74.1,MI,Male,Black or African American,Lung
7,2006,79.8,MI,Male,Black or African American,Lung
8,2007,78.8,MI,Male,Black or African American,Lung
9,2008,81.0,MI,Male,Black or African American,Lung
10,2009,74.3,MI,Male,Black or African American,Lung
11,2010,74.6,MI,Male,Black or African American,Lung
12,2011,77.6,MI,Male,Black or African American,Lung
13,2012,74.8,MI,Male,Black or African American,Lung
14,2013,75.5,MI,Male,Black or African American,Lung
15,2014,70.7,MI,Male,Black or African American,Lung
16,2015,71.4,MI,Male,Black or African American,Lung
0,2016,73.47142182137918,MI,Male,Black or African American,Lung
1,2017,54.54548941137298,MI,Male,Black or African American,Lung
2,2018,67.89579781071701,MI,Male,Black or African American,Lung
3,2019,39.26067855535848,MI,Male,Black or African American,Lung
4,2020,40.48219270842317,MI,Male,Black or African American,Lung
5,2021,9.20036037087153,MI,Male,Black or African American,Lung
6,2022,27.972586936907845,MI,Male,Black or African American,Lung
7,2023,16.684181770181183,MI,Male,Black or African American,Lung
8,2024,3.366493211237284,MI,Male,Black or African American,Lung
9,2025,15.382324025848336,MI,Male,Black or African American,Lung
