,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.7,MI,Male,Black or African American,Larynx
1,2000,8.5,MI,Male,Black or African American,Larynx
2,2001,9.3,MI,Male,Black or African American,Larynx
3,2002,9.2,MI,Male,Black or African American,Larynx
4,2003,6.8,MI,Male,Black or African American,Larynx
5,2004,7.5,MI,Male,Black or African American,Larynx
6,2005,9.3,MI,Male,Black or African American,Larynx
7,2006,9.3,MI,Male,Black or African American,Larynx
8,2007,10.4,MI,Male,Black or African American,Larynx
9,2008,6.9,MI,Male,Black or African American,Larynx
10,2009,7.2,MI,Male,Black or African American,Larynx
11,2010,9.5,MI,Male,Black or African American,Larynx
12,2011,8.9,MI,Male,Black or African American,Larynx
13,2012,9.2,MI,Male,Black or African American,Larynx
14,2013,6.5,MI,Male,Black or African American,Larynx
15,2014,8.5,MI,Male,Black or African American,Larynx
16,2015,8.0,MI,Male,Black or African American,Larynx
0,2016,9.54061658219818,MI,Male,Black or African American,Larynx
1,2017,11.056613744329303,MI,Male,Black or African American,Larynx
2,2018,5.947628478655882,MI,Male,Black or African American,Larynx
3,2019,12.347932117743898,MI,Male,Black or African American,Larynx
4,2020,3.0222932952644648,MI,Male,Black or African American,Larynx
5,2021,11.63492117432331,MI,Male,Black or African American,Larynx
6,2022,0.0,MI,Male,Black or African American,Larynx
7,2023,15.563063657878548,MI,Male,Black or African American,Larynx
8,2024,0.0,MI,Male,Black or African American,Larynx
9,2025,22.98735182248651,MI,Male,Black or African American,Larynx
