,Year,Lung,State,Gender,Race,Cancer
0,1999,66.4,MI,Female,White,Lung
1,2000,66.3,MI,Female,White,Lung
2,2001,69.4,MI,Female,White,Lung
3,2002,68.4,MI,Female,White,Lung
4,2003,73.8,MI,Female,White,Lung
5,2004,72.6,MI,Female,White,Lung
6,2005,75.4,MI,Female,White,Lung
7,2006,75.6,MI,Female,White,Lung
8,2007,81.1,MI,Female,White,Lung
9,2008,78.1,MI,Female,White,Lung
10,2009,76.3,MI,Female,White,Lung
11,2010,81.1,MI,Female,White,Lung
12,2011,81.6,MI,Female,White,Lung
13,2012,79.1,MI,Female,White,Lung
14,2013,78.5,MI,Female,White,Lung
15,2014,80.7,MI,Female,White,Lung
16,2015,82.3,MI,Female,White,Lung
0,2016,77.83918466323298,MI,Female,White,Lung
1,2017,51.22799798531827,MI,Female,White,Lung
2,2018,41.452408716262426,MI,Female,White,Lung
3,2019,0.5848954182750443,MI,Female,White,Lung
4,2020,0.0,MI,Female,White,Lung
5,2021,0.0,MI,Female,White,Lung
6,2022,0.0,MI,Female,White,Lung
7,2023,0.0,MI,Female,White,Lung
8,2024,0.0,MI,Female,White,Lung
9,2025,0.0,MI,Female,White,Lung
