,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.5,MI,Female,White,Nasal
1,2000,0.5,MI,Female,White,Nasal
2,2001,0.6,MI,Female,White,Nasal
3,2002,0.7,MI,Female,White,Nasal
4,2003,0.6,MI,Female,White,Nasal
5,2004,0.6,MI,Female,White,Nasal
6,2005,0.9,MI,Female,White,Nasal
7,2006,0.4,MI,Female,White,Nasal
8,2007,0.7,MI,Female,White,Nasal
9,2008,0.5,MI,Female,White,Nasal
10,2009,0.6,MI,Female,White,Nasal
11,2010,0.6,MI,Female,White,Nasal
12,2011,0.6,MI,Female,White,Nasal
13,2012,0.6,MI,Female,White,Nasal
14,2013,0.7,MI,Female,White,Nasal
15,2014,0.7,MI,Female,White,Nasal
16,2015,0.5,MI,Female,White,Nasal
0,2016,0.76911943068658,MI,Female,White,Nasal
1,2017,0.7475765940995582,MI,Female,White,Nasal
2,2018,0.3746675609684156,MI,Female,White,Nasal
3,2019,0.48652886364308495,MI,Female,White,Nasal
4,2020,0.046539676389604656,MI,Female,White,Nasal
5,2021,0.4946137654056737,MI,Female,White,Nasal
6,2022,0.0,MI,Female,White,Nasal
7,2023,0.7983856990516278,MI,Female,White,Nasal
8,2024,0.0,MI,Female,White,Nasal
9,2025,1.6117622781276824,MI,Female,White,Nasal
