,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.5,MI,Female,White,Larynx
1,2000,2.1,MI,Female,White,Larynx
2,2001,1.6,MI,Female,White,Larynx
3,2002,1.7,MI,Female,White,Larynx
4,2003,1.6,MI,Female,White,Larynx
5,2004,2.1,MI,Female,White,Larynx
6,2005,1.6,MI,Female,White,Larynx
7,2006,1.9,MI,Female,White,Larynx
8,2007,2.0,MI,Female,White,Larynx
9,2008,1.9,MI,Female,White,Larynx
10,2009,2.3,MI,Female,White,Larynx
11,2010,2.3,MI,Female,White,Larynx
12,2011,2.2,MI,Female,White,Larynx
13,2012,2.1,MI,Female,White,Larynx
14,2013,1.8,MI,Female,White,Larynx
15,2014,2.2,MI,Female,White,Larynx
16,2015,2.1,MI,Female,White,Larynx
0,2016,2.123268619447224,MI,Female,White,Larynx
1,2017,1.3454317723357545,MI,Female,White,Larynx
2,2018,0.8486002833832409,MI,Female,White,Larynx
3,2019,0.5003158818302664,MI,Female,White,Larynx
4,2020,0.6420997633529406,MI,Female,White,Larynx
5,2021,0.0,MI,Female,White,Larynx
6,2022,0.49877431397552885,MI,Female,White,Larynx
7,2023,0.0,MI,Female,White,Larynx
8,2024,0.33595183385313654,MI,Female,White,Larynx
9,2025,0.0,MI,Female,White,Larynx
