,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.3,MI,Male,White,Larynx
1,2000,7.7,MI,Male,White,Larynx
2,2001,7.0,MI,Male,White,Larynx
3,2002,6.7,MI,Male,White,Larynx
4,2003,6.9,MI,Male,White,Larynx
5,2004,7.4,MI,Male,White,Larynx
6,2005,7.6,MI,Male,White,Larynx
7,2006,7.7,MI,Male,White,Larynx
8,2007,7.7,MI,Male,White,Larynx
9,2008,7.4,MI,Male,White,Larynx
10,2009,7.4,MI,Male,White,Larynx
11,2010,7.8,MI,Male,White,Larynx
12,2011,7.3,MI,Male,White,Larynx
13,2012,7.4,MI,Male,White,Larynx
14,2013,7.9,MI,Male,White,Larynx
15,2014,6.8,MI,Male,White,Larynx
16,2015,7.9,MI,Male,White,Larynx
0,2016,8.302068740332498,MI,Male,White,Larynx
1,2017,2.172226282648137,MI,Male,White,Larynx
2,2018,8.001760946152022,MI,Male,White,Larynx
3,2019,0.0,MI,Male,White,Larynx
4,2020,4.4141693967513085,MI,Male,White,Larynx
5,2021,13.755762461738964,MI,Male,White,Larynx
6,2022,0.0,MI,Male,White,Larynx
7,2023,37.222713331579854,MI,Male,White,Larynx
8,2024,0.0,MI,Male,White,Larynx
9,2025,0.0,MI,Male,White,Larynx
