,Year,Lung,State,Gender,Race,Cancer
0,1999,48.5,MN,Female,White,Lung
1,2000,49.2,MN,Female,White,Lung
2,2001,52.1,MN,Female,White,Lung
3,2002,53.9,MN,Female,White,Lung
4,2003,56.1,MN,Female,White,Lung
5,2004,55.8,MN,Female,White,Lung
6,2005,54.1,MN,Female,White,Lung
7,2006,57.4,MN,Female,White,Lung
8,2007,59.0,MN,Female,White,Lung
9,2008,60.4,MN,Female,White,Lung
10,2009,62.0,MN,Female,White,Lung
11,2010,64.6,MN,Female,White,Lung
12,2011,60.1,MN,Female,White,Lung
13,2012,65.1,MN,Female,White,Lung
14,2013,67.1,MN,Female,White,Lung
15,2014,65.2,MN,Female,White,Lung
16,2015,72.4,MN,Female,White,Lung
0,2016,71.0754368339076,MN,Female,White,Lung
1,2017,86.7362477467596,MN,Female,White,Lung
2,2018,75.72245938761314,MN,Female,White,Lung
3,2019,67.33587268959971,MN,Female,White,Lung
4,2020,106.11243958510161,MN,Female,White,Lung
5,2021,47.36777885328972,MN,Female,White,Lung
6,2022,43.03547162435899,MN,Female,White,Lung
7,2023,90.40655036307797,MN,Female,White,Lung
8,2024,0.0,MN,Female,White,Lung
9,2025,129.26264474240347,MN,Female,White,Lung
