,Year,Lung,State,Gender,Race,Cancer
0,1999,64.4,MN,Male,White,Lung
1,2000,64.4,MN,Male,White,Lung
2,2001,65.3,MN,Male,White,Lung
3,2002,64.9,MN,Male,White,Lung
4,2003,66.9,MN,Male,White,Lung
5,2004,65.3,MN,Male,White,Lung
6,2005,66.3,MN,Male,White,Lung
7,2006,62.5,MN,Male,White,Lung
8,2007,66.6,MN,Male,White,Lung
9,2008,64.0,MN,Male,White,Lung
10,2009,67.2,MN,Male,White,Lung
11,2010,65.8,MN,Male,White,Lung
12,2011,66.3,MN,Male,White,Lung
13,2012,67.9,MN,Male,White,Lung
14,2013,72.7,MN,Male,White,Lung
15,2014,66.3,MN,Male,White,Lung
16,2015,72.9,MN,Male,White,Lung
0,2016,69.58486842239147,MN,Male,White,Lung
1,2017,66.14170445646286,MN,Male,White,Lung
2,2018,26.841056125855296,MN,Male,White,Lung
3,2019,41.50997224106707,MN,Male,White,Lung
4,2020,4.28628473223857,MN,Male,White,Lung
5,2021,65.48910414380123,MN,Male,White,Lung
6,2022,0.0,MN,Male,White,Lung
7,2023,97.77252240998041,MN,Male,White,Lung
8,2024,0.0,MN,Male,White,Lung
9,2025,152.6178251745385,MN,Male,White,Lung
