,Year,Lung,State,Gender,Race,Cancer
0,1999,89.7,MO,Male,Black or African American,Lung
1,2000,81.8,MO,Male,Black or African American,Lung
2,2001,74.6,MO,Male,Black or African American,Lung
3,2002,85.6,MO,Male,Black or African American,Lung
4,2003,73.6,MO,Male,Black or African American,Lung
5,2004,79.4,MO,Male,Black or African American,Lung
6,2005,84.4,MO,Male,Black or African American,Lung
7,2006,77.9,MO,Male,Black or African American,Lung
8,2007,71.6,MO,Male,Black or African American,Lung
9,2008,70.5,MO,Male,Black or African American,Lung
10,2009,74.8,MO,Male,Black or African American,Lung
11,2010,67.0,MO,Male,Black or African American,Lung
12,2011,81.7,MO,Male,Black or African American,Lung
13,2012,80.0,MO,Male,Black or African American,Lung
14,2013,79.9,MO,Male,Black or African American,Lung
15,2014,71.0,MO,Male,Black or African American,Lung
16,2015,76.0,MO,Male,Black or African American,Lung
0,2016,65.9214128872082,MO,Male,Black or African American,Lung
1,2017,43.46838780697168,MO,Male,Black or African American,Lung
2,2018,47.50686876546368,MO,Male,Black or African American,Lung
3,2019,50.70585495066638,MO,Male,Black or African American,Lung
4,2020,45.06867004927746,MO,Male,Black or African American,Lung
5,2021,59.72693673595903,MO,Male,Black or African American,Lung
6,2022,0.869938368404533,MO,Male,Black or African American,Lung
7,2023,25.014054600983854,MO,Male,Black or African American,Lung
8,2024,0.0,MO,Male,Black or African American,Lung
9,2025,30.37738041224887,MO,Male,Black or African American,Lung
