,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.0,MO,Male,Black or African American,Larynx
1,2000,9.8,MO,Male,Black or African American,Larynx
2,2001,7.4,MO,Male,Black or African American,Larynx
3,2002,7.0,MO,Male,Black or African American,Larynx
4,2003,7.5,MO,Male,Black or African American,Larynx
5,2004,8.6,MO,Male,Black or African American,Larynx
6,2005,8.2,MO,Male,Black or African American,Larynx
7,2006,9.3,MO,Male,Black or African American,Larynx
8,2007,6.5,MO,Male,Black or African American,Larynx
9,2008,5.0,MO,Male,Black or African American,Larynx
10,2009,7.5,MO,Male,Black or African American,Larynx
11,2010,9.4,MO,Male,Black or African American,Larynx
12,2011,9.1,MO,Male,Black or African American,Larynx
13,2012,4.5,MO,Male,Black or African American,Larynx
14,2013,8.4,MO,Male,Black or African American,Larynx
15,2014,7.5,MO,Male,Black or African American,Larynx
16,2015,7.4,MO,Male,Black or African American,Larynx
0,2016,6.879856926932306,MO,Male,Black or African American,Larynx
1,2017,9.5323870156514,MO,Male,Black or African American,Larynx
2,2018,7.202305204519516,MO,Male,Black or African American,Larynx
3,2019,7.651717456469343,MO,Male,Black or African American,Larynx
4,2020,5.44007108494247,MO,Male,Black or African American,Larynx
5,2021,8.408157395829104,MO,Male,Black or African American,Larynx
6,2022,0.0,MO,Male,Black or African American,Larynx
7,2023,10.45593525064984,MO,Male,Black or African American,Larynx
8,2024,0.0,MO,Male,Black or African American,Larynx
9,2025,9.589923280691508,MO,Male,Black or African American,Larynx
