,Year,Lung,State,Gender,Race,Cancer
0,1999,72.7,MO,Female,White,Lung
1,2000,68.4,MO,Female,White,Lung
2,2001,70.4,MO,Female,White,Lung
3,2002,73.2,MO,Female,White,Lung
4,2003,78.2,MO,Female,White,Lung
5,2004,75.6,MO,Female,White,Lung
6,2005,83.1,MO,Female,White,Lung
7,2006,83.1,MO,Female,White,Lung
8,2007,79.6,MO,Female,White,Lung
9,2008,82.4,MO,Female,White,Lung
10,2009,84.7,MO,Female,White,Lung
11,2010,83.4,MO,Female,White,Lung
12,2011,84.3,MO,Female,White,Lung
13,2012,87.0,MO,Female,White,Lung
14,2013,89.7,MO,Female,White,Lung
15,2014,87.4,MO,Female,White,Lung
16,2015,87.1,MO,Female,White,Lung
0,2016,89.90073534935846,MO,Female,White,Lung
1,2017,35.440173351993636,MO,Female,White,Lung
2,2018,48.12039244977749,MO,Female,White,Lung
3,2019,7.361253363363224,MO,Female,White,Lung
4,2020,8.725385186337304,MO,Female,White,Lung
5,2021,43.01635461804938,MO,Female,White,Lung
6,2022,4.630990609190288,MO,Female,White,Lung
7,2023,2.8265603735516223,MO,Female,White,Lung
8,2024,32.81494933740208,MO,Female,White,Lung
9,2025,0.0,MO,Female,White,Lung
