,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.1,MO,Female,White,Larynx
1,2000,1.8,MO,Female,White,Larynx
2,2001,1.8,MO,Female,White,Larynx
3,2002,1.8,MO,Female,White,Larynx
4,2003,2.0,MO,Female,White,Larynx
5,2004,2.0,MO,Female,White,Larynx
6,2005,2.1,MO,Female,White,Larynx
7,2006,2.0,MO,Female,White,Larynx
8,2007,1.9,MO,Female,White,Larynx
9,2008,2.5,MO,Female,White,Larynx
10,2009,2.5,MO,Female,White,Larynx
11,2010,2.0,MO,Female,White,Larynx
12,2011,2.0,MO,Female,White,Larynx
13,2012,2.7,MO,Female,White,Larynx
14,2013,1.8,MO,Female,White,Larynx
15,2014,2.2,MO,Female,White,Larynx
16,2015,2.3,MO,Female,White,Larynx
0,2016,2.805218629657112,MO,Female,White,Larynx
1,2017,1.6630342258237676,MO,Female,White,Larynx
2,2018,2.914715235059607,MO,Female,White,Larynx
3,2019,2.0413988624884505,MO,Female,White,Larynx
4,2020,0.701826640863344,MO,Female,White,Larynx
5,2021,2.547921622624447,MO,Female,White,Larynx
6,2022,1.208791733690725,MO,Female,White,Larynx
7,2023,0.3170372840531308,MO,Female,White,Larynx
8,2024,1.3682699579837814,MO,Female,White,Larynx
9,2025,2.2553203828376227,MO,Female,White,Larynx
