,Year,Lung,State,Gender,Race,Cancer
0,1999,105.2,MO,Male,White,Lung
1,2000,100.4,MO,Male,White,Lung
2,2001,99.4,MO,Male,White,Lung
3,2002,106.3,MO,Male,White,Lung
4,2003,109.3,MO,Male,White,Lung
5,2004,106.0,MO,Male,White,Lung
6,2005,108.3,MO,Male,White,Lung
7,2006,106.2,MO,Male,White,Lung
8,2007,103.0,MO,Male,White,Lung
9,2008,101.2,MO,Male,White,Lung
10,2009,104.5,MO,Male,White,Lung
11,2010,99.9,MO,Male,White,Lung
12,2011,101.5,MO,Male,White,Lung
13,2012,104.5,MO,Male,White,Lung
14,2013,99.8,MO,Male,White,Lung
15,2014,101.3,MO,Male,White,Lung
16,2015,100.0,MO,Male,White,Lung
0,2016,98.0237740049539,MO,Male,White,Lung
1,2017,75.70245676180738,MO,Male,White,Lung
2,2018,48.1314018878694,MO,Male,White,Lung
3,2019,24.94236654128905,MO,Male,White,Lung
4,2020,31.419191580768633,MO,Male,White,Lung
5,2021,44.5387492783143,MO,Male,White,Lung
6,2022,0.0,MO,Male,White,Lung
7,2023,44.50985928417221,MO,Male,White,Lung
8,2024,0.0,MO,Male,White,Lung
9,2025,24.05848373279406,MO,Male,White,Lung
