,Year,Lung,State,Gender,Race,Cancer
0,1999,76.4,MT,Male,White,Lung
1,2000,86.6,MT,Male,White,Lung
2,2001,80.4,MT,Male,White,Lung
3,2002,83.3,MT,Male,White,Lung
4,2003,84.2,MT,Male,White,Lung
5,2004,77.5,MT,Male,White,Lung
6,2005,85.0,MT,Male,White,Lung
7,2006,77.4,MT,Male,White,Lung
8,2007,81.8,MT,Male,White,Lung
9,2008,80.1,MT,Male,White,Lung
10,2009,78.3,MT,Male,White,Lung
11,2010,69.6,MT,Male,White,Lung
12,2011,83.1,MT,Male,White,Lung
13,2012,72.3,MT,Male,White,Lung
14,2013,66.6,MT,Male,White,Lung
15,2014,73.5,MT,Male,White,Lung
16,2015,67.4,MT,Male,White,Lung
0,2016,61.66897432473304,MT,Male,White,Lung
1,2017,82.0435275845106,MT,Male,White,Lung
2,2018,20.138126449734585,MT,Male,White,Lung
3,2019,31.162033888590997,MT,Male,White,Lung
4,2020,0.0,MT,Male,White,Lung
5,2021,40.162091530360215,MT,Male,White,Lung
6,2022,0.0,MT,Male,White,Lung
7,2023,72.54986628962729,MT,Male,White,Lung
8,2024,0.0,MT,Male,White,Lung
9,2025,157.44493571767327,MT,Male,White,Lung
