,Year,Lung,State,Gender,Race,Cancer
0,1999,30.5,NC,Female,Black or African American,Lung
1,2000,30.2,NC,Female,Black or African American,Lung
2,2001,33.3,NC,Female,Black or African American,Lung
3,2002,35.9,NC,Female,Black or African American,Lung
4,2003,37.2,NC,Female,Black or African American,Lung
5,2004,36.4,NC,Female,Black or African American,Lung
6,2005,40.9,NC,Female,Black or African American,Lung
7,2006,39.3,NC,Female,Black or African American,Lung
8,2007,44.6,NC,Female,Black or African American,Lung
9,2008,41.8,NC,Female,Black or African American,Lung
10,2009,45.3,NC,Female,Black or African American,Lung
11,2010,47.4,NC,Female,Black or African American,Lung
12,2011,45.1,NC,Female,Black or African American,Lung
13,2012,46.1,NC,Female,Black or African American,Lung
14,2013,46.6,NC,Female,Black or African American,Lung
15,2014,48.0,NC,Female,Black or African American,Lung
16,2015,50.5,NC,Female,Black or African American,Lung
0,2016,49.84382466700104,NC,Female,Black or African American,Lung
1,2017,45.80472630302351,NC,Female,Black or African American,Lung
2,2018,16.494182429920887,NC,Female,Black or African American,Lung
3,2019,27.106868386172618,NC,Female,Black or African American,Lung
4,2020,0.0,NC,Female,Black or African American,Lung
5,2021,18.553366016581002,NC,Female,Black or African American,Lung
6,2022,0.0,NC,Female,Black or African American,Lung
7,2023,19.012429318216505,NC,Female,Black or African American,Lung
8,2024,0.0,NC,Female,Black or African American,Lung
9,2025,22.52538523183955,NC,Female,Black or African American,Lung
