,Year,Lung,State,Gender,Race,Cancer
0,1999,67.1,NC,Male,Black or African American,Lung
1,2000,72.4,NC,Male,Black or African American,Lung
2,2001,72.5,NC,Male,Black or African American,Lung
3,2002,74.2,NC,Male,Black or African American,Lung
4,2003,69.1,NC,Male,Black or African American,Lung
5,2004,74.5,NC,Male,Black or African American,Lung
6,2005,76.9,NC,Male,Black or African American,Lung
7,2006,81.3,NC,Male,Black or African American,Lung
8,2007,78.2,NC,Male,Black or African American,Lung
9,2008,75.1,NC,Male,Black or African American,Lung
10,2009,78.9,NC,Male,Black or African American,Lung
11,2010,83.1,NC,Male,Black or African American,Lung
12,2011,75.0,NC,Male,Black or African American,Lung
13,2012,78.1,NC,Male,Black or African American,Lung
14,2013,74.3,NC,Male,Black or African American,Lung
15,2014,78.7,NC,Male,Black or African American,Lung
16,2015,74.7,NC,Male,Black or African American,Lung
0,2016,74.52170216067205,NC,Male,Black or African American,Lung
1,2017,38.83850839957176,NC,Male,Black or African American,Lung
2,2018,31.376323563351825,NC,Male,Black or African American,Lung
3,2019,26.380912405331728,NC,Male,Black or African American,Lung
4,2020,0.0,NC,Male,Black or African American,Lung
5,2021,0.0,NC,Male,Black or African American,Lung
6,2022,0.0,NC,Male,Black or African American,Lung
7,2023,0.0,NC,Male,Black or African American,Lung
8,2024,0.0,NC,Male,Black or African American,Lung
9,2025,0.0,NC,Male,Black or African American,Lung
