,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.2,NC,Male,Black or African American,Larynx
1,2000,10.2,NC,Male,Black or African American,Larynx
2,2001,9.0,NC,Male,Black or African American,Larynx
3,2002,9.6,NC,Male,Black or African American,Larynx
4,2003,8.6,NC,Male,Black or African American,Larynx
5,2004,9.9,NC,Male,Black or African American,Larynx
6,2005,10.7,NC,Male,Black or African American,Larynx
7,2006,10.4,NC,Male,Black or African American,Larynx
8,2007,10.2,NC,Male,Black or African American,Larynx
9,2008,10.1,NC,Male,Black or African American,Larynx
10,2009,9.0,NC,Male,Black or African American,Larynx
11,2010,9.5,NC,Male,Black or African American,Larynx
12,2011,8.9,NC,Male,Black or African American,Larynx
13,2012,9.7,NC,Male,Black or African American,Larynx
14,2013,7.0,NC,Male,Black or African American,Larynx
15,2014,8.9,NC,Male,Black or African American,Larynx
16,2015,9.3,NC,Male,Black or African American,Larynx
0,2016,8.96310744490874,NC,Male,Black or African American,Larynx
1,2017,4.73986873731627,NC,Male,Black or African American,Larynx
2,2018,5.191715234644042,NC,Male,Black or African American,Larynx
3,2019,3.263702250795698,NC,Male,Black or African American,Larynx
4,2020,2.806690139655057,NC,Male,Black or African American,Larynx
5,2021,2.2016547638575563,NC,Male,Black or African American,Larynx
6,2022,1.21550026528471,NC,Male,Black or African American,Larynx
7,2023,0.8746864529028626,NC,Male,Black or African American,Larynx
8,2024,0.7534816088453864,NC,Male,Black or African American,Larynx
9,2025,0.3512251791519996,NC,Male,Black or African American,Larynx
