,Year,Lung,State,Gender,Race,Cancer
0,1999,61.9,NC,Female,White,Lung
1,2000,63.1,NC,Female,White,Lung
2,2001,61.1,NC,Female,White,Lung
3,2002,65.6,NC,Female,White,Lung
4,2003,71.4,NC,Female,White,Lung
5,2004,72.2,NC,Female,White,Lung
6,2005,76.6,NC,Female,White,Lung
7,2006,76.0,NC,Female,White,Lung
8,2007,77.2,NC,Female,White,Lung
9,2008,77.2,NC,Female,White,Lung
10,2009,75.9,NC,Female,White,Lung
11,2010,75.0,NC,Female,White,Lung
12,2011,74.7,NC,Female,White,Lung
13,2012,78.7,NC,Female,White,Lung
14,2013,81.7,NC,Female,White,Lung
15,2014,82.2,NC,Female,White,Lung
16,2015,83.2,NC,Female,White,Lung
0,2016,82.54540766002913,NC,Female,White,Lung
1,2017,0.0,NC,Female,White,Lung
2,2018,0.0,NC,Female,White,Lung
3,2019,0.0,NC,Female,White,Lung
4,2020,43.224393112570134,NC,Female,White,Lung
5,2021,46.85403124149721,NC,Female,White,Lung
6,2022,16.41632965347819,NC,Female,White,Lung
7,2023,0.0,NC,Female,White,Lung
8,2024,0.0,NC,Female,White,Lung
9,2025,0.0,NC,Female,White,Lung
