,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.6,NC,Female,White,Nasal
1,2000,0.7,NC,Female,White,Nasal
2,2001,0.6,NC,Female,White,Nasal
3,2002,0.6,NC,Female,White,Nasal
4,2003,0.7,NC,Female,White,Nasal
5,2004,0.7,NC,Female,White,Nasal
6,2005,0.7,NC,Female,White,Nasal
7,2006,0.6,NC,Female,White,Nasal
8,2007,0.8,NC,Female,White,Nasal
9,2008,0.7,NC,Female,White,Nasal
10,2009,0.8,NC,Female,White,Nasal
11,2010,0.6,NC,Female,White,Nasal
12,2011,0.6,NC,Female,White,Nasal
13,2012,0.7,NC,Female,White,Nasal
14,2013,0.8,NC,Female,White,Nasal
15,2014,0.7,NC,Female,White,Nasal
16,2015,0.5,NC,Female,White,Nasal
0,2016,0.6027643064985461,NC,Female,White,Nasal
1,2017,0.6607724897587851,NC,Female,White,Nasal
2,2018,0.7086562153879987,NC,Female,White,Nasal
3,2019,0.5687247182375887,NC,Female,White,Nasal
4,2020,0.0,NC,Female,White,Nasal
5,2021,0.23720054798208673,NC,Female,White,Nasal
6,2022,0.3247232391084105,NC,Female,White,Nasal
7,2023,0.4022293378816979,NC,Female,White,Nasal
8,2024,0.0,NC,Female,White,Nasal
9,2025,0.1614420207811902,NC,Female,White,Nasal
