,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.0,NC,Female,White,Larynx
1,2000,1.7,NC,Female,White,Larynx
2,2001,2.1,NC,Female,White,Larynx
3,2002,1.5,NC,Female,White,Larynx
4,2003,2.0,NC,Female,White,Larynx
5,2004,2.3,NC,Female,White,Larynx
6,2005,2.0,NC,Female,White,Larynx
7,2006,2.4,NC,Female,White,Larynx
8,2007,1.8,NC,Female,White,Larynx
9,2008,2.2,NC,Female,White,Larynx
10,2009,1.9,NC,Female,White,Larynx
11,2010,2.1,NC,Female,White,Larynx
12,2011,2.3,NC,Female,White,Larynx
13,2012,2.5,NC,Female,White,Larynx
14,2013,2.4,NC,Female,White,Larynx
15,2014,1.9,NC,Female,White,Larynx
16,2015,2.2,NC,Female,White,Larynx
0,2016,2.0588485437226742,NC,Female,White,Larynx
1,2017,2.320591404631825,NC,Female,White,Larynx
2,2018,1.3080317609064651,NC,Female,White,Larynx
3,2019,2.735966649972017,NC,Female,White,Larynx
4,2020,0.8559152389791804,NC,Female,White,Larynx
5,2021,2.269751496171486,NC,Female,White,Larynx
6,2022,0.0,NC,Female,White,Larynx
7,2023,2.5854848692657875,NC,Female,White,Larynx
8,2024,0.0,NC,Female,White,Larynx
9,2025,3.7943812867445867,NC,Female,White,Larynx
