,Year,Lung,State,Gender,Race,Cancer
0,1999,93.1,NC,Male,White,Lung
1,2000,93.1,NC,Male,White,Lung
2,2001,89.1,NC,Male,White,Lung
3,2002,93.4,NC,Male,White,Lung
4,2003,94.4,NC,Male,White,Lung
5,2004,100.4,NC,Male,White,Lung
6,2005,102.9,NC,Male,White,Lung
7,2006,100.9,NC,Male,White,Lung
8,2007,97.3,NC,Male,White,Lung
9,2008,98.9,NC,Male,White,Lung
10,2009,100.3,NC,Male,White,Lung
11,2010,97.8,NC,Male,White,Lung
12,2011,97.6,NC,Male,White,Lung
13,2012,95.5,NC,Male,White,Lung
14,2013,100.2,NC,Male,White,Lung
15,2014,96.4,NC,Male,White,Lung
16,2015,96.3,NC,Male,White,Lung
0,2016,96.09768299699738,NC,Male,White,Lung
1,2017,13.61006660891211,NC,Male,White,Lung
2,2018,28.859632978948916,NC,Male,White,Lung
3,2019,25.171996242016064,NC,Male,White,Lung
4,2020,4.679943707397224,NC,Male,White,Lung
5,2021,0.0,NC,Male,White,Lung
6,2022,4.926388950579042,NC,Male,White,Lung
7,2023,2.6310361922665764,NC,Male,White,Lung
8,2024,0.0,NC,Male,White,Lung
9,2025,0.0,NC,Male,White,Lung
