,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.7,NC,Male,White,Nasal
1,2000,0.8,NC,Male,White,Nasal
2,2001,1.0,NC,Male,White,Nasal
3,2002,0.9,NC,Male,White,Nasal
4,2003,0.6,NC,Male,White,Nasal
5,2004,1.1,NC,Male,White,Nasal
6,2005,0.7,NC,Male,White,Nasal
7,2006,0.6,NC,Male,White,Nasal
8,2007,1.1,NC,Male,White,Nasal
9,2008,1.4,NC,Male,White,Nasal
10,2009,1.7,NC,Male,White,Nasal
11,2010,1.1,NC,Male,White,Nasal
12,2011,1.0,NC,Male,White,Nasal
13,2012,1.4,NC,Male,White,Nasal
14,2013,1.1,NC,Male,White,Nasal
15,2014,1.3,NC,Male,White,Nasal
16,2015,1.0,NC,Male,White,Nasal
0,2016,0.930429282140227,NC,Male,White,Nasal
1,2017,0.6222392700079108,NC,Male,White,Nasal
2,2018,0.8139037505639853,NC,Male,White,Nasal
3,2019,0.2880914837309626,NC,Male,White,Nasal
4,2020,0.5204633958212409,NC,Male,White,Nasal
5,2021,0.0,NC,Male,White,Nasal
6,2022,0.09230563657497892,NC,Male,White,Nasal
7,2023,0.42708826019484164,NC,Male,White,Nasal
8,2024,0.0,NC,Male,White,Nasal
9,2025,0.3754374376981269,NC,Male,White,Nasal
