,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.3,NC,Male,White,Larynx
1,2000,7.5,NC,Male,White,Larynx
2,2001,7.9,NC,Male,White,Larynx
3,2002,6.8,NC,Male,White,Larynx
4,2003,7.6,NC,Male,White,Larynx
5,2004,8.2,NC,Male,White,Larynx
6,2005,7.7,NC,Male,White,Larynx
7,2006,7.0,NC,Male,White,Larynx
8,2007,7.9,NC,Male,White,Larynx
9,2008,7.6,NC,Male,White,Larynx
10,2009,8.4,NC,Male,White,Larynx
11,2010,7.9,NC,Male,White,Larynx
12,2011,7.4,NC,Male,White,Larynx
13,2012,7.0,NC,Male,White,Larynx
14,2013,7.7,NC,Male,White,Larynx
15,2014,7.8,NC,Male,White,Larynx
16,2015,7.0,NC,Male,White,Larynx
0,2016,7.236137272911998,NC,Male,White,Larynx
1,2017,6.544093509992615,NC,Male,White,Larynx
2,2018,7.754741256325959,NC,Male,White,Larynx
3,2019,5.858888168820049,NC,Male,White,Larynx
4,2020,4.415011223695199,NC,Male,White,Larynx
5,2021,4.347951712137996,NC,Male,White,Larynx
6,2022,2.5041896065922966,NC,Male,White,Larynx
7,2023,3.178381047971018,NC,Male,White,Larynx
8,2024,2.20599650783224,NC,Male,White,Larynx
9,2025,2.0170052319792635,NC,Male,White,Larynx
