,Year,Lung,State,Gender,Race,Cancer
0,1999,74.5,ND,Male,White,Lung
1,2000,72.2,ND,Male,White,Lung
2,2001,77.0,ND,Male,White,Lung
3,2002,83.3,ND,Male,White,Lung
4,2003,79.2,ND,Male,White,Lung
5,2004,73.1,ND,Male,White,Lung
6,2005,80.8,ND,Male,White,Lung
7,2006,73.8,ND,Male,White,Lung
8,2007,79.4,ND,Male,White,Lung
9,2008,71.7,ND,Male,White,Lung
10,2009,71.0,ND,Male,White,Lung
11,2010,77.7,ND,Male,White,Lung
12,2011,80.3,ND,Male,White,Lung
13,2012,82.0,ND,Male,White,Lung
14,2013,71.8,ND,Male,White,Lung
15,2014,73.6,ND,Male,White,Lung
16,2015,61.6,ND,Male,White,Lung
0,2016,74.45594299008765,ND,Male,White,Lung
1,2017,59.77643958331966,ND,Male,White,Lung
2,2018,39.8844804602316,ND,Male,White,Lung
3,2019,61.35323939853603,ND,Male,White,Lung
4,2020,31.82157906110264,ND,Male,White,Lung
5,2021,44.92116769540753,ND,Male,White,Lung
6,2022,0.0,ND,Male,White,Lung
7,2023,40.9016884818501,ND,Male,White,Lung
8,2024,0.0,ND,Male,White,Lung
9,2025,57.48578459566636,ND,Male,White,Lung
