,Year,Lung,State,Gender,Race,Cancer
0,1999,75.8,NE,Male,White,Lung
1,2000,76.4,NE,Male,White,Lung
2,2001,79.7,NE,Male,White,Lung
3,2002,79.7,NE,Male,White,Lung
4,2003,78.2,NE,Male,White,Lung
5,2004,89.6,NE,Male,White,Lung
6,2005,81.6,NE,Male,White,Lung
7,2006,81.5,NE,Male,White,Lung
8,2007,81.6,NE,Male,White,Lung
9,2008,74.1,NE,Male,White,Lung
10,2009,73.0,NE,Male,White,Lung
11,2010,75.0,NE,Male,White,Lung
12,2011,74.1,NE,Male,White,Lung
13,2012,78.4,NE,Male,White,Lung
14,2013,78.7,NE,Male,White,Lung
15,2014,77.1,NE,Male,White,Lung
16,2015,73.8,NE,Male,White,Lung
0,2016,70.97726659958737,NE,Male,White,Lung
1,2017,17.491203885709908,NE,Male,White,Lung
2,2018,10.173882621598576,NE,Male,White,Lung
3,2019,5.316877702967156,NE,Male,White,Lung
4,2020,52.29093685423512,NE,Male,White,Lung
5,2021,55.744677690182385,NE,Male,White,Lung
6,2022,29.06921181325758,NE,Male,White,Lung
7,2023,9.615260497483638,NE,Male,White,Lung
8,2024,0.0,NE,Male,White,Lung
9,2025,0.0,NE,Male,White,Lung
