,Year,Larynx,State,Gender,Race,Cancer
0,1999,6.6,NE,Male,White,Larynx
1,2000,6.1,NE,Male,White,Larynx
2,2001,7.4,NE,Male,White,Larynx
3,2002,5.2,NE,Male,White,Larynx
4,2003,6.3,NE,Male,White,Larynx
5,2004,6.4,NE,Male,White,Larynx
6,2005,6.7,NE,Male,White,Larynx
7,2006,7.2,NE,Male,White,Larynx
8,2007,7.5,NE,Male,White,Larynx
9,2008,5.2,NE,Male,White,Larynx
10,2009,6.5,NE,Male,White,Larynx
11,2010,6.8,NE,Male,White,Larynx
12,2011,6.1,NE,Male,White,Larynx
13,2012,6.8,NE,Male,White,Larynx
14,2013,4.6,NE,Male,White,Larynx
15,2014,4.7,NE,Male,White,Larynx
16,2015,6.4,NE,Male,White,Larynx
0,2016,6.258018338221226,NE,Male,White,Larynx
1,2017,5.373056821752873,NE,Male,White,Larynx
2,2018,6.024830211508791,NE,Male,White,Larynx
3,2019,3.369346177065056,NE,Male,White,Larynx
4,2020,5.917081085611625,NE,Male,White,Larynx
5,2021,2.674487956882831,NE,Male,White,Larynx
6,2022,2.1378091457062065,NE,Male,White,Larynx
7,2023,3.0606197435534006,NE,Male,White,Larynx
8,2024,0.9615740618998316,NE,Male,White,Larynx
9,2025,2.905092025675437,NE,Male,White,Larynx
