,Year,Lung,State,Gender,Race,Cancer
0,1999,77.1,NH,Male,White,Lung
1,2000,77.6,NH,Male,White,Lung
2,2001,74.3,NH,Male,White,Lung
3,2002,74.0,NH,Male,White,Lung
4,2003,75.8,NH,Male,White,Lung
5,2004,81.8,NH,Male,White,Lung
6,2005,81.7,NH,Male,White,Lung
7,2006,77.2,NH,Male,White,Lung
8,2007,84.3,NH,Male,White,Lung
9,2008,85.2,NH,Male,White,Lung
10,2009,84.3,NH,Male,White,Lung
11,2010,86.3,NH,Male,White,Lung
12,2011,85.6,NH,Male,White,Lung
13,2012,79.8,NH,Male,White,Lung
14,2013,84.6,NH,Male,White,Lung
15,2014,82.6,NH,Male,White,Lung
16,2015,86.0,NH,Male,White,Lung
0,2016,87.23192973738168,NH,Male,White,Lung
1,2017,49.150059270604,NH,Male,White,Lung
2,2018,59.39165066624522,NH,Male,White,Lung
3,2019,20.21409732048093,NH,Male,White,Lung
4,2020,39.3132179862489,NH,Male,White,Lung
5,2021,28.728659979715232,NH,Male,White,Lung
6,2022,8.13502287513096,NH,Male,White,Lung
7,2023,23.375516684412332,NH,Male,White,Lung
8,2024,6.865962666081342,NH,Male,White,Lung
9,2025,6.373991278407602,NH,Male,White,Lung
