,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.9,NH,Male,White,Larynx
1,2000,6.1,NH,Male,White,Larynx
2,2001,7.2,NH,Male,White,Larynx
3,2002,7.1,NH,Male,White,Larynx
4,2003,5.6,NH,Male,White,Larynx
5,2004,8.0,NH,Male,White,Larynx
6,2005,6.3,NH,Male,White,Larynx
7,2006,10.2,NH,Male,White,Larynx
8,2007,7.9,NH,Male,White,Larynx
9,2008,7.9,NH,Male,White,Larynx
10,2009,7.4,NH,Male,White,Larynx
11,2010,5.6,NH,Male,White,Larynx
12,2011,8.2,NH,Male,White,Larynx
13,2012,6.6,NH,Male,White,Larynx
14,2013,7.6,NH,Male,White,Larynx
15,2014,6.4,NH,Male,White,Larynx
16,2015,5.8,NH,Male,White,Larynx
0,2016,7.061289159756594,NH,Male,White,Larynx
1,2017,1.3247057281678403,NH,Male,White,Larynx
2,2018,0.522904327873055,NH,Male,White,Larynx
3,2019,2.0311821681544973,NH,Male,White,Larynx
4,2020,3.704656436881633,NH,Male,White,Larynx
5,2021,0.35467748066166926,NH,Male,White,Larynx
6,2022,0.0,NH,Male,White,Larynx
7,2023,0.0,NH,Male,White,Larynx
8,2024,1.0054279051812902,NH,Male,White,Larynx
9,2025,2.915503615545326,NH,Male,White,Larynx
