,Year,Lung,State,Gender,Race,Cancer
0,1999,66.6,NJ,Male,Black or African American,Lung
1,2000,64.3,NJ,Male,Black or African American,Lung
2,2001,60.1,NJ,Male,Black or African American,Lung
3,2002,62.6,NJ,Male,Black or African American,Lung
4,2003,60.0,NJ,Male,Black or African American,Lung
5,2004,54.6,NJ,Male,Black or African American,Lung
6,2005,59.8,NJ,Male,Black or African American,Lung
7,2006,56.5,NJ,Male,Black or African American,Lung
8,2007,62.1,NJ,Male,Black or African American,Lung
9,2008,53.5,NJ,Male,Black or African American,Lung
10,2009,59.3,NJ,Male,Black or African American,Lung
11,2010,52.2,NJ,Male,Black or African American,Lung
12,2011,50.8,NJ,Male,Black or African American,Lung
13,2012,53.9,NJ,Male,Black or African American,Lung
14,2013,48.9,NJ,Male,Black or African American,Lung
15,2014,48.2,NJ,Male,Black or African American,Lung
16,2015,48.6,NJ,Male,Black or African American,Lung
0,2016,46.257559058866725,NJ,Male,Black or African American,Lung
1,2017,49.39926161329676,NJ,Male,Black or African American,Lung
2,2018,17.195466488355912,NJ,Male,Black or African American,Lung
3,2019,43.38713419275164,NJ,Male,Black or African American,Lung
4,2020,0.0,NJ,Male,Black or African American,Lung
5,2021,45.32742323874747,NJ,Male,Black or African American,Lung
6,2022,0.0,NJ,Male,Black or African American,Lung
7,2023,62.8481912213642,NJ,Male,Black or African American,Lung
8,2024,0.0,NJ,Male,Black or African American,Lung
9,2025,105.36058981686682,NJ,Male,Black or African American,Lung
