,Year,Lung,State,Gender,Race,Cancer
0,1999,72.7,NJ,Female,White,Lung
1,2000,72.7,NJ,Female,White,Lung
2,2001,75.4,NJ,Female,White,Lung
3,2002,75.9,NJ,Female,White,Lung
4,2003,74.6,NJ,Female,White,Lung
5,2004,73.3,NJ,Female,White,Lung
6,2005,77.7,NJ,Female,White,Lung
7,2006,78.0,NJ,Female,White,Lung
8,2007,79.1,NJ,Female,White,Lung
9,2008,80.8,NJ,Female,White,Lung
10,2009,78.4,NJ,Female,White,Lung
11,2010,73.7,NJ,Female,White,Lung
12,2011,79.3,NJ,Female,White,Lung
13,2012,75.1,NJ,Female,White,Lung
14,2013,79.0,NJ,Female,White,Lung
15,2014,78.6,NJ,Female,White,Lung
16,2015,78.9,NJ,Female,White,Lung
0,2016,77.23841740381324,NJ,Female,White,Lung
1,2017,65.40404378319927,NJ,Female,White,Lung
2,2018,42.76640929013313,NJ,Female,White,Lung
3,2019,49.184918084260694,NJ,Female,White,Lung
4,2020,44.78198477089582,NJ,Female,White,Lung
5,2021,63.90958399218576,NJ,Female,White,Lung
6,2022,3.5558738283182265,NJ,Female,White,Lung
7,2023,55.70678773950016,NJ,Female,White,Lung
8,2024,0.0,NJ,Female,White,Lung
9,2025,59.39629514843776,NJ,Female,White,Lung
