,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.8,NJ,Female,White,Nasal
1,2000,0.7,NJ,Female,White,Nasal
2,2001,0.7,NJ,Female,White,Nasal
3,2002,0.6,NJ,Female,White,Nasal
4,2003,0.5,NJ,Female,White,Nasal
5,2004,0.6,NJ,Female,White,Nasal
6,2005,0.9,NJ,Female,White,Nasal
7,2006,0.8,NJ,Female,White,Nasal
8,2007,0.8,NJ,Female,White,Nasal
9,2008,0.8,NJ,Female,White,Nasal
10,2009,0.8,NJ,Female,White,Nasal
11,2010,0.7,NJ,Female,White,Nasal
12,2011,0.8,NJ,Female,White,Nasal
13,2012,0.6,NJ,Female,White,Nasal
14,2013,0.6,NJ,Female,White,Nasal
15,2014,0.8,NJ,Female,White,Nasal
16,2015,0.8,NJ,Female,White,Nasal
0,2016,0.7018124246148918,NJ,Female,White,Nasal
1,2017,0.3493946331178635,NJ,Female,White,Nasal
2,2018,0.6919174821972895,NJ,Female,White,Nasal
3,2019,0.22899426384936905,NJ,Female,White,Nasal
4,2020,0.25649950716426045,NJ,Female,White,Nasal
5,2021,0.7751186789996215,NJ,Female,White,Nasal
6,2022,0.08985608682403068,NJ,Female,White,Nasal
7,2023,0.0,NJ,Female,White,Nasal
8,2024,0.5742292870467927,NJ,Female,White,Nasal
9,2025,0.0,NJ,Female,White,Nasal
