,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.9,NJ,Female,White,Larynx
1,2000,1.8,NJ,Female,White,Larynx
2,2001,2.3,NJ,Female,White,Larynx
3,2002,1.7,NJ,Female,White,Larynx
4,2003,1.5,NJ,Female,White,Larynx
5,2004,1.9,NJ,Female,White,Larynx
6,2005,1.6,NJ,Female,White,Larynx
7,2006,1.8,NJ,Female,White,Larynx
8,2007,2.0,NJ,Female,White,Larynx
9,2008,1.9,NJ,Female,White,Larynx
10,2009,1.8,NJ,Female,White,Larynx
11,2010,2.0,NJ,Female,White,Larynx
12,2011,1.9,NJ,Female,White,Larynx
13,2012,1.9,NJ,Female,White,Larynx
14,2013,1.5,NJ,Female,White,Larynx
15,2014,1.5,NJ,Female,White,Larynx
16,2015,1.4,NJ,Female,White,Larynx
0,2016,1.4573908208173847,NJ,Female,White,Larynx
1,2017,0.49210286934271574,NJ,Female,White,Larynx
2,2018,0.2519493169497913,NJ,Female,White,Larynx
3,2019,0.14386320033426198,NJ,Female,White,Larynx
4,2020,0.4674915827172041,NJ,Female,White,Larynx
5,2021,0.6494529447004238,NJ,Female,White,Larynx
6,2022,0.34779340834224626,NJ,Female,White,Larynx
7,2023,0.12149075940350068,NJ,Female,White,Larynx
8,2024,0.0,NJ,Female,White,Larynx
9,2025,0.0,NJ,Female,White,Larynx
