,Year,Lung,State,Gender,Race,Cancer
0,1999,85.6,NJ,Male,White,Lung
1,2000,86.8,NJ,Male,White,Lung
2,2001,84.7,NJ,Male,White,Lung
3,2002,83.4,NJ,Male,White,Lung
4,2003,82.1,NJ,Male,White,Lung
5,2004,77.0,NJ,Male,White,Lung
6,2005,81.9,NJ,Male,White,Lung
7,2006,82.8,NJ,Male,White,Lung
8,2007,81.5,NJ,Male,White,Lung
9,2008,80.4,NJ,Male,White,Lung
10,2009,78.2,NJ,Male,White,Lung
11,2010,75.4,NJ,Male,White,Lung
12,2011,76.3,NJ,Male,White,Lung
13,2012,76.3,NJ,Male,White,Lung
14,2013,75.6,NJ,Male,White,Lung
15,2014,73.7,NJ,Male,White,Lung
16,2015,74.1,NJ,Male,White,Lung
0,2016,72.30617629180573,NJ,Male,White,Lung
1,2017,51.59896062470288,NJ,Male,White,Lung
2,2018,62.136604986651186,NJ,Male,White,Lung
3,2019,49.31193894497487,NJ,Male,White,Lung
4,2020,55.59115458372392,NJ,Male,White,Lung
5,2021,40.02898026001152,NJ,Male,White,Lung
6,2022,12.949623711057058,NJ,Male,White,Lung
7,2023,23.14945136100847,NJ,Male,White,Lung
8,2024,16.903501482797253,NJ,Male,White,Lung
9,2025,15.340790260868665,NJ,Male,White,Lung
