,Year,Larynx,State,Gender,Race,Cancer
0,1999,7.4,NJ,Male,White,Larynx
1,2000,7.7,NJ,Male,White,Larynx
2,2001,8.1,NJ,Male,White,Larynx
3,2002,7.4,NJ,Male,White,Larynx
4,2003,7.4,NJ,Male,White,Larynx
5,2004,6.8,NJ,Male,White,Larynx
6,2005,7.1,NJ,Male,White,Larynx
7,2006,8.3,NJ,Male,White,Larynx
8,2007,6.7,NJ,Male,White,Larynx
9,2008,6.5,NJ,Male,White,Larynx
10,2009,7.3,NJ,Male,White,Larynx
11,2010,6.4,NJ,Male,White,Larynx
12,2011,6.7,NJ,Male,White,Larynx
13,2012,6.3,NJ,Male,White,Larynx
14,2013,7.4,NJ,Male,White,Larynx
15,2014,6.9,NJ,Male,White,Larynx
16,2015,6.5,NJ,Male,White,Larynx
0,2016,6.8110572070908075,NJ,Male,White,Larynx
1,2017,6.331005546144915,NJ,Male,White,Larynx
2,2018,7.065532468274256,NJ,Male,White,Larynx
3,2019,3.0455269695159224,NJ,Male,White,Larynx
4,2020,4.797959943926503,NJ,Male,White,Larynx
5,2021,1.1105962189965635,NJ,Male,White,Larynx
6,2022,3.1622524160023984,NJ,Male,White,Larynx
7,2023,1.7588095999268485,NJ,Male,White,Larynx
8,2024,0.0,NJ,Male,White,Larynx
9,2025,3.0932527088372024,NJ,Male,White,Larynx
