,Year,Lung,State,Gender,Race,Cancer
0,1999,57.7,NM,Male,White,Lung
1,2000,58.0,NM,Male,White,Lung
2,2001,60.4,NM,Male,White,Lung
3,2002,63.1,NM,Male,White,Lung
4,2003,56.5,NM,Male,White,Lung
5,2004,57.7,NM,Male,White,Lung
6,2005,61.8,NM,Male,White,Lung
7,2006,59.5,NM,Male,White,Lung
8,2007,61.6,NM,Male,White,Lung
9,2008,56.2,NM,Male,White,Lung
10,2009,55.4,NM,Male,White,Lung
11,2010,55.0,NM,Male,White,Lung
12,2011,57.1,NM,Male,White,Lung
13,2012,56.8,NM,Male,White,Lung
14,2013,54.5,NM,Male,White,Lung
15,2014,55.9,NM,Male,White,Lung
16,2015,54.6,NM,Male,White,Lung
0,2016,54.89624574576962,NM,Male,White,Lung
1,2017,30.736168200915856,NM,Male,White,Lung
2,2018,41.01993132201223,NM,Male,White,Lung
3,2019,24.909491747460994,NM,Male,White,Lung
4,2020,27.82980445344041,NM,Male,White,Lung
5,2021,2.9087099930018,NM,Male,White,Lung
6,2022,10.636769154128443,NM,Male,White,Lung
7,2023,12.179581910132352,NM,Male,White,Lung
8,2024,0.0,NM,Male,White,Lung
9,2025,9.874963453363675,NM,Male,White,Lung
