,Year,Larynx,State,Gender,Race,Cancer
0,1999,6.4,NM,Male,White,Larynx
1,2000,7.0,NM,Male,White,Larynx
2,2001,5.9,NM,Male,White,Larynx
3,2002,4.9,NM,Male,White,Larynx
4,2003,6.4,NM,Male,White,Larynx
5,2004,4.2,NM,Male,White,Larynx
6,2005,5.2,NM,Male,White,Larynx
7,2006,5.7,NM,Male,White,Larynx
8,2007,6.1,NM,Male,White,Larynx
9,2008,6.1,NM,Male,White,Larynx
10,2009,6.6,NM,Male,White,Larynx
11,2010,4.1,NM,Male,White,Larynx
12,2011,4.6,NM,Male,White,Larynx
13,2012,4.8,NM,Male,White,Larynx
14,2013,6.7,NM,Male,White,Larynx
15,2014,4.7,NM,Male,White,Larynx
16,2015,4.2,NM,Male,White,Larynx
0,2016,3.5308612787229774,NM,Male,White,Larynx
1,2017,3.1746232353829913,NM,Male,White,Larynx
2,2018,5.036123088482642,NM,Male,White,Larynx
3,2019,5.054814457933872,NM,Male,White,Larynx
4,2020,2.3778098478309566,NM,Male,White,Larynx
5,2021,1.9541799916794302,NM,Male,White,Larynx
6,2022,0.8271369943065272,NM,Male,White,Larynx
7,2023,2.1047221787305848,NM,Male,White,Larynx
8,2024,1.2859646535384002,NM,Male,White,Larynx
9,2025,1.545467870831411,NM,Male,White,Larynx
