,Year,Lung,State,Gender,Race,Cancer
0,1999,87.9,NV,Male,White,Lung
1,2000,88.7,NV,Male,White,Lung
2,2001,80.5,NV,Male,White,Lung
3,2002,88.5,NV,Male,White,Lung
4,2003,81.6,NV,Male,White,Lung
5,2004,80.2,NV,Male,White,Lung
6,2005,75.3,NV,Male,White,Lung
7,2006,78.4,NV,Male,White,Lung
8,2007,73.9,NV,Male,White,Lung
9,2008,75.4,NV,Male,White,Lung
10,2009,69.9,NV,Male,White,Lung
11,2010,69.1,NV,Male,White,Lung
12,2011,70.3,NV,Male,White,Lung
13,2012,69.5,NV,Male,White,Lung
14,2013,72.9,NV,Male,White,Lung
15,2014,59.8,NV,Male,White,Lung
16,2015,54.4,NV,Male,White,Lung
0,2016,58.30995792822577,NV,Male,White,Lung
1,2017,62.71252044828737,NV,Male,White,Lung
2,2018,85.07629797485305,NV,Male,White,Lung
3,2019,82.76478094695806,NV,Male,White,Lung
4,2020,31.05667884619292,NV,Male,White,Lung
5,2021,11.055313508002751,NV,Male,White,Lung
6,2022,28.998700097389314,NV,Male,White,Lung
7,2023,69.1859605992437,NV,Male,White,Lung
8,2024,28.113001767689397,NV,Male,White,Lung
9,2025,0.0,NV,Male,White,Lung
