,Year,Larynx,State,Gender,Race,Cancer
0,1999,6.5,NV,Male,White,Larynx
1,2000,8.2,NV,Male,White,Larynx
2,2001,5.3,NV,Male,White,Larynx
3,2002,6.8,NV,Male,White,Larynx
4,2003,6.0,NV,Male,White,Larynx
5,2004,6.2,NV,Male,White,Larynx
6,2005,5.6,NV,Male,White,Larynx
7,2006,6.0,NV,Male,White,Larynx
8,2007,4.3,NV,Male,White,Larynx
9,2008,5.3,NV,Male,White,Larynx
10,2009,5.7,NV,Male,White,Larynx
11,2010,5.6,NV,Male,White,Larynx
12,2011,4.2,NV,Male,White,Larynx
13,2012,6.1,NV,Male,White,Larynx
14,2013,4.1,NV,Male,White,Larynx
15,2014,5.1,NV,Male,White,Larynx
16,2015,5.4,NV,Male,White,Larynx
0,2016,4.707288229248607,NV,Male,White,Larynx
1,2017,4.238921425955675,NV,Male,White,Larynx
2,2018,4.90220789840793,NV,Male,White,Larynx
3,2019,2.578303876431728,NV,Male,White,Larynx
4,2020,3.083768160291429,NV,Male,White,Larynx
5,2021,3.505238485254186,NV,Male,White,Larynx
6,2022,0.0,NV,Male,White,Larynx
7,2023,3.2100301135091773,NV,Male,White,Larynx
8,2024,0.0,NV,Male,White,Larynx
9,2025,1.21177578678334,NV,Male,White,Larynx
