,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.9,NY,Female,Black or African American,Larynx
1,2000,2.0,NY,Female,Black or African American,Larynx
2,2001,1.5,NY,Female,Black or African American,Larynx
3,2002,1.9,NY,Female,Black or African American,Larynx
4,2003,2.0,NY,Female,Black or African American,Larynx
5,2004,1.1,NY,Female,Black or African American,Larynx
6,2005,1.5,NY,Female,Black or African American,Larynx
7,2006,1.6,NY,Female,Black or African American,Larynx
8,2007,1.8,NY,Female,Black or African American,Larynx
9,2008,2.5,NY,Female,Black or African American,Larynx
10,2009,1.5,NY,Female,Black or African American,Larynx
11,2010,1.7,NY,Female,Black or African American,Larynx
12,2011,1.7,NY,Female,Black or African American,Larynx
13,2012,1.5,NY,Female,Black or African American,Larynx
14,2013,1.4,NY,Female,Black or African American,Larynx
15,2014,1.5,NY,Female,Black or African American,Larynx
16,2015,1.4,NY,Female,Black or African American,Larynx
0,2016,1.5089091996766661,NY,Female,Black or African American,Larynx
1,2017,0.8277250690863055,NY,Female,Black or African American,Larynx
2,2018,0.9192542701478492,NY,Female,Black or African American,Larynx
3,2019,0.6509000486824992,NY,Female,Black or African American,Larynx
4,2020,0.9427327882683244,NY,Female,Black or African American,Larynx
5,2021,0.29187929305954574,NY,Female,Black or African American,Larynx
6,2022,0.24311167889451601,NY,Female,Black or African American,Larynx
7,2023,0.2733306444009419,NY,Female,Black or African American,Larynx
8,2024,0.03703565170063111,NY,Female,Black or African American,Larynx
9,2025,0.3628776137052435,NY,Female,Black or African American,Larynx
