,Year,Lung,State,Gender,Race,Cancer
0,1999,70.4,NY,Female,White,Lung
1,2000,72.5,NY,Female,White,Lung
2,2001,72.8,NY,Female,White,Lung
3,2002,72.7,NY,Female,White,Lung
4,2003,72.4,NY,Female,White,Lung
5,2004,74.8,NY,Female,White,Lung
6,2005,75.5,NY,Female,White,Lung
7,2006,80.1,NY,Female,White,Lung
8,2007,79.0,NY,Female,White,Lung
9,2008,81.5,NY,Female,White,Lung
10,2009,79.3,NY,Female,White,Lung
11,2010,79.1,NY,Female,White,Lung
12,2011,80.7,NY,Female,White,Lung
13,2012,80.1,NY,Female,White,Lung
14,2013,81.5,NY,Female,White,Lung
15,2014,79.1,NY,Female,White,Lung
16,2015,82.5,NY,Female,White,Lung
0,2016,81.10949767556072,NY,Female,White,Lung
1,2017,26.46949352097887,NY,Female,White,Lung
2,2018,0.0,NY,Female,White,Lung
3,2019,16.252954480948176,NY,Female,White,Lung
4,2020,14.579845537475272,NY,Female,White,Lung
5,2021,48.5129810783065,NY,Female,White,Lung
6,2022,0.0,NY,Female,White,Lung
7,2023,2.2985957434765396,NY,Female,White,Lung
8,2024,0.0,NY,Female,White,Lung
9,2025,37.19171650892727,NY,Female,White,Lung
