,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.6,NY,Female,White,Nasal
1,2000,0.7,NY,Female,White,Nasal
2,2001,0.5,NY,Female,White,Nasal
3,2002,0.7,NY,Female,White,Nasal
4,2003,0.8,NY,Female,White,Nasal
5,2004,0.6,NY,Female,White,Nasal
6,2005,0.5,NY,Female,White,Nasal
7,2006,0.9,NY,Female,White,Nasal
8,2007,0.8,NY,Female,White,Nasal
9,2008,0.5,NY,Female,White,Nasal
10,2009,0.7,NY,Female,White,Nasal
11,2010,0.6,NY,Female,White,Nasal
12,2011,0.7,NY,Female,White,Nasal
13,2012,0.6,NY,Female,White,Nasal
14,2013,0.6,NY,Female,White,Nasal
15,2014,0.8,NY,Female,White,Nasal
16,2015,0.8,NY,Female,White,Nasal
0,2016,0.59015429767699,NY,Female,White,Nasal
1,2017,0.6833239916957696,NY,Female,White,Nasal
2,2018,0.9983003894241513,NY,Female,White,Nasal
3,2019,0.26605315780493927,NY,Female,White,Nasal
4,2020,0.6165191045001038,NY,Female,White,Nasal
5,2021,0.3578505460539756,NY,Female,White,Nasal
6,2022,0.28547709891416406,NY,Female,White,Nasal
7,2023,0.3909256803340675,NY,Female,White,Nasal
8,2024,0.1091849520779909,NY,Female,White,Nasal
9,2025,0.3058895914915821,NY,Female,White,Nasal
