,Year,Lung,State,Gender,Race,Cancer
0,1999,84.4,NY,Male,White,Lung
1,2000,85.7,NY,Male,White,Lung
2,2001,81.7,NY,Male,White,Lung
3,2002,84.9,NY,Male,White,Lung
4,2003,84.7,NY,Male,White,Lung
5,2004,82.5,NY,Male,White,Lung
6,2005,83.4,NY,Male,White,Lung
7,2006,82.7,NY,Male,White,Lung
8,2007,84.8,NY,Male,White,Lung
9,2008,85.0,NY,Male,White,Lung
10,2009,85.3,NY,Male,White,Lung
11,2010,81.3,NY,Male,White,Lung
12,2011,82.6,NY,Male,White,Lung
13,2012,80.7,NY,Male,White,Lung
14,2013,81.1,NY,Male,White,Lung
15,2014,78.4,NY,Male,White,Lung
16,2015,80.8,NY,Male,White,Lung
0,2016,78.73834791329652,NY,Male,White,Lung
1,2017,36.83464368720743,NY,Male,White,Lung
2,2018,7.047798953613068,NY,Male,White,Lung
3,2019,36.29436889240857,NY,Male,White,Lung
4,2020,3.8083673953370862,NY,Male,White,Lung
5,2021,41.40132058762562,NY,Male,White,Lung
6,2022,0.0,NY,Male,White,Lung
7,2023,47.99580058442854,NY,Male,White,Lung
8,2024,0.0,NY,Male,White,Lung
9,2025,83.55710453632372,NY,Male,White,Lung
