,Year,Trachea,State,Gender,Race,Cancer
0,1999,0.3,NY,Male,White,Trachea
1,2000,0.4,NY,Male,White,Trachea
2,2001,0.3,NY,Male,White,Trachea
3,2002,0.3,NY,Male,White,Trachea
4,2003,0.3,NY,Male,White,Trachea
5,2004,0.2,NY,Male,White,Trachea
6,2005,0.3,NY,Male,White,Trachea
7,2006,0.3,NY,Male,White,Trachea
8,2007,0.2,NY,Male,White,Trachea
9,2008,0.4,NY,Male,White,Trachea
10,2009,0.3,NY,Male,White,Trachea
11,2010,0.4,NY,Male,White,Trachea
12,2011,0.3,NY,Male,White,Trachea
13,2012,0.3,NY,Male,White,Trachea
14,2013,0.3,NY,Male,White,Trachea
15,2014,0.4,NY,Male,White,Trachea
16,2015,0.3,NY,Male,White,Trachea
0,2016,0.41695615677665154,NY,Male,White,Trachea
1,2017,0.3586925374549659,NY,Male,White,Trachea
2,2018,0.20720367183539,NY,Male,White,Trachea
3,2019,0.28115528284844343,NY,Male,White,Trachea
4,2020,0.170631595925768,NY,Male,White,Trachea
5,2021,0.30437979366122925,NY,Male,White,Trachea
6,2022,0.011785012703745046,NY,Male,White,Trachea
7,2023,0.35372628816361845,NY,Male,White,Trachea
8,2024,0.0,NY,Male,White,Trachea
9,2025,0.5591953493391268,NY,Male,White,Trachea
