,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.5,NY,Male,White,Larynx
1,2000,8.2,NY,Male,White,Larynx
2,2001,7.7,NY,Male,White,Larynx
3,2002,7.7,NY,Male,White,Larynx
4,2003,7.6,NY,Male,White,Larynx
5,2004,8.0,NY,Male,White,Larynx
6,2005,8.1,NY,Male,White,Larynx
7,2006,7.6,NY,Male,White,Larynx
8,2007,7.3,NY,Male,White,Larynx
9,2008,8.2,NY,Male,White,Larynx
10,2009,7.4,NY,Male,White,Larynx
11,2010,7.3,NY,Male,White,Larynx
12,2011,7.0,NY,Male,White,Larynx
13,2012,7.5,NY,Male,White,Larynx
14,2013,7.5,NY,Male,White,Larynx
15,2014,6.9,NY,Male,White,Larynx
16,2015,7.1,NY,Male,White,Larynx
0,2016,7.146747017486063,NY,Male,White,Larynx
1,2017,8.307698576895042,NY,Male,White,Larynx
2,2018,7.582349476577636,NY,Male,White,Larynx
3,2019,6.377099205815214,NY,Male,White,Larynx
4,2020,4.167409882977262,NY,Male,White,Larynx
5,2021,4.603325628996906,NY,Male,White,Larynx
6,2022,3.303400545252477,NY,Male,White,Larynx
7,2023,3.4783471316997776,NY,Male,White,Larynx
8,2024,1.7604861131134388,NY,Male,White,Larynx
9,2025,2.6673944225084423,NY,Male,White,Larynx
