,Year,Lung,State,Gender,Race,Cancer
0,1999,52.7,OH,Female,Black or African American,Lung
1,2000,51.7,OH,Female,Black or African American,Lung
2,2001,47.0,OH,Female,Black or African American,Lung
3,2002,54.7,OH,Female,Black or African American,Lung
4,2003,60.9,OH,Female,Black or African American,Lung
5,2004,58.3,OH,Female,Black or African American,Lung
6,2005,59.1,OH,Female,Black or African American,Lung
7,2006,60.9,OH,Female,Black or African American,Lung
8,2007,61.0,OH,Female,Black or African American,Lung
9,2008,59.4,OH,Female,Black or African American,Lung
10,2009,61.9,OH,Female,Black or African American,Lung
11,2010,63.6,OH,Female,Black or African American,Lung
12,2011,58.3,OH,Female,Black or African American,Lung
13,2012,60.4,OH,Female,Black or African American,Lung
14,2013,63.3,OH,Female,Black or African American,Lung
15,2014,60.5,OH,Female,Black or African American,Lung
16,2015,64.9,OH,Female,Black or African American,Lung
0,2016,64.86476691949808,OH,Female,Black or African American,Lung
1,2017,37.38348363191663,OH,Female,Black or African American,Lung
2,2018,61.28977094553902,OH,Female,Black or African American,Lung
3,2019,0.0,OH,Female,Black or African American,Lung
4,2020,28.318470454025977,OH,Female,Black or African American,Lung
5,2021,29.486667314739602,OH,Female,Black or African American,Lung
6,2022,0.0,OH,Female,Black or African American,Lung
7,2023,63.19817653576558,OH,Female,Black or African American,Lung
8,2024,0.0,OH,Female,Black or African American,Lung
9,2025,0.0,OH,Female,Black or African American,Lung
