,Year,Lung,State,Gender,Race,Cancer
0,1999,88.7,OH,Male,Black or African American,Lung
1,2000,76.4,OH,Male,Black or African American,Lung
2,2001,81.6,OH,Male,Black or African American,Lung
3,2002,81.5,OH,Male,Black or African American,Lung
4,2003,81.5,OH,Male,Black or African American,Lung
5,2004,83.6,OH,Male,Black or African American,Lung
6,2005,79.5,OH,Male,Black or African American,Lung
7,2006,78.7,OH,Male,Black or African American,Lung
8,2007,78.8,OH,Male,Black or African American,Lung
9,2008,77.5,OH,Male,Black or African American,Lung
10,2009,77.7,OH,Male,Black or African American,Lung
11,2010,74.6,OH,Male,Black or African American,Lung
12,2011,78.2,OH,Male,Black or African American,Lung
13,2012,71.0,OH,Male,Black or African American,Lung
14,2013,68.9,OH,Male,Black or African American,Lung
15,2014,73.4,OH,Male,Black or African American,Lung
16,2015,68.5,OH,Male,Black or African American,Lung
0,2016,66.39727449527238,OH,Male,Black or African American,Lung
1,2017,67.31294137909416,OH,Male,Black or African American,Lung
2,2018,55.24242106413473,OH,Male,Black or African American,Lung
3,2019,13.777624454491082,OH,Male,Black or African American,Lung
4,2020,41.62422519587039,OH,Male,Black or African American,Lung
5,2021,2.797807347410261,OH,Male,Black or African American,Lung
6,2022,13.281714921962289,OH,Male,Black or African American,Lung
7,2023,10.826541118390944,OH,Male,Black or African American,Lung
8,2024,0.0,OH,Male,Black or African American,Lung
9,2025,9.957541966028126,OH,Male,Black or African American,Lung
