,Year,Larynx,State,Gender,Race,Cancer
0,1999,8.5,OH,Male,Black or African American,Larynx
1,2000,8.0,OH,Male,Black or African American,Larynx
2,2001,9.3,OH,Male,Black or African American,Larynx
3,2002,8.4,OH,Male,Black or African American,Larynx
4,2003,5.8,OH,Male,Black or African American,Larynx
5,2004,7.9,OH,Male,Black or African American,Larynx
6,2005,8.0,OH,Male,Black or African American,Larynx
7,2006,6.5,OH,Male,Black or African American,Larynx
8,2007,6.4,OH,Male,Black or African American,Larynx
9,2008,8.0,OH,Male,Black or African American,Larynx
10,2009,6.8,OH,Male,Black or African American,Larynx
11,2010,6.6,OH,Male,Black or African American,Larynx
12,2011,7.4,OH,Male,Black or African American,Larynx
13,2012,6.4,OH,Male,Black or African American,Larynx
14,2013,6.5,OH,Male,Black or African American,Larynx
15,2014,5.5,OH,Male,Black or African American,Larynx
16,2015,7.9,OH,Male,Black or African American,Larynx
0,2016,4.389598042916996,OH,Male,Black or African American,Larynx
1,2017,13.983016723801779,OH,Male,Black or African American,Larynx
2,2018,0.0,OH,Male,Black or African American,Larynx
3,2019,31.587330007779393,OH,Male,Black or African American,Larynx
4,2020,0.0,OH,Male,Black or African American,Larynx
5,2021,111.20955298228766,OH,Male,Black or African American,Larynx
6,2022,0.0,OH,Male,Black or African American,Larynx
7,2023,429.901039691477,OH,Male,Black or African American,Larynx
8,2024,0.0,OH,Male,Black or African American,Larynx
9,2025,1697.314887552211,OH,Male,Black or African American,Larynx
