,Year,Nasal,State,Gender,Race,Cancer
0,1999,0.7,OH,Female,White,Nasal
1,2000,0.7,OH,Female,White,Nasal
2,2001,0.5,OH,Female,White,Nasal
3,2002,0.6,OH,Female,White,Nasal
4,2003,0.6,OH,Female,White,Nasal
5,2004,0.5,OH,Female,White,Nasal
6,2005,0.6,OH,Female,White,Nasal
7,2006,0.7,OH,Female,White,Nasal
8,2007,0.4,OH,Female,White,Nasal
9,2008,0.6,OH,Female,White,Nasal
10,2009,0.7,OH,Female,White,Nasal
11,2010,0.9,OH,Female,White,Nasal
12,2011,0.6,OH,Female,White,Nasal
13,2012,0.5,OH,Female,White,Nasal
14,2013,0.5,OH,Female,White,Nasal
15,2014,0.7,OH,Female,White,Nasal
16,2015,0.7,OH,Female,White,Nasal
0,2016,0.7474713793432191,OH,Female,White,Nasal
1,2017,0.37762747795329127,OH,Female,White,Nasal
2,2018,0.6295533998386528,OH,Female,White,Nasal
3,2019,0.7008189351751293,OH,Female,White,Nasal
4,2020,0.44174024513087234,OH,Female,White,Nasal
5,2021,0.43602790377656836,OH,Female,White,Nasal
6,2022,0.24878762581779248,OH,Female,White,Nasal
7,2023,0.30011425359494404,OH,Female,White,Nasal
8,2024,0.2966292252424252,OH,Female,White,Nasal
9,2025,0.3393175282009836,OH,Female,White,Nasal
