,Year,Larynx,State,Gender,Race,Cancer
0,1999,2.5,OK,Female,White,Larynx
1,2000,1.8,OK,Female,White,Larynx
2,2001,1.8,OK,Female,White,Larynx
3,2002,2.6,OK,Female,White,Larynx
4,2003,2.4,OK,Female,White,Larynx
5,2004,2.4,OK,Female,White,Larynx
6,2005,2.3,OK,Female,White,Larynx
7,2006,2.5,OK,Female,White,Larynx
8,2007,2.0,OK,Female,White,Larynx
9,2008,1.9,OK,Female,White,Larynx
10,2009,1.9,OK,Female,White,Larynx
11,2010,1.9,OK,Female,White,Larynx
12,2011,2.1,OK,Female,White,Larynx
13,2012,2.1,OK,Female,White,Larynx
14,2013,2.0,OK,Female,White,Larynx
15,2014,2.5,OK,Female,White,Larynx
16,2015,2.8,OK,Female,White,Larynx
0,2016,2.8311356288694656,OK,Female,White,Larynx
1,2017,0.0,OK,Female,White,Larynx
2,2018,0.0,OK,Female,White,Larynx
3,2019,0.31800060963843285,OK,Female,White,Larynx
4,2020,0.0,OK,Female,White,Larynx
5,2021,0.020535735873115968,OK,Female,White,Larynx
6,2022,0.5892779109975733,OK,Female,White,Larynx
7,2023,0.24030716419636294,OK,Female,White,Larynx
8,2024,0.0,OK,Female,White,Larynx
9,2025,0.03578594479640737,OK,Female,White,Larynx
