,Year,Lung,State,Gender,Race,Cancer
0,1999,111.6,OK,Male,White,Lung
1,2000,112.4,OK,Male,White,Lung
2,2001,116.1,OK,Male,White,Lung
3,2002,112.7,OK,Male,White,Lung
4,2003,110.5,OK,Male,White,Lung
5,2004,105.4,OK,Male,White,Lung
6,2005,107.4,OK,Male,White,Lung
7,2006,105.8,OK,Male,White,Lung
8,2007,111.2,OK,Male,White,Lung
9,2008,105.7,OK,Male,White,Lung
10,2009,99.0,OK,Male,White,Lung
11,2010,92.0,OK,Male,White,Lung
12,2011,96.3,OK,Male,White,Lung
13,2012,97.3,OK,Male,White,Lung
14,2013,97.3,OK,Male,White,Lung
15,2014,97.7,OK,Male,White,Lung
16,2015,94.3,OK,Male,White,Lung
0,2016,85.65193988182956,OK,Male,White,Lung
1,2017,17.436811392702552,OK,Male,White,Lung
2,2018,92.79823763307252,OK,Male,White,Lung
3,2019,109.07065356718205,OK,Male,White,Lung
4,2020,21.504331547721616,OK,Male,White,Lung
5,2021,42.95987893387303,OK,Male,White,Lung
6,2022,62.20428372570798,OK,Male,White,Lung
7,2023,0.0,OK,Male,White,Lung
8,2024,0.0,OK,Male,White,Lung
9,2025,91.32219661622628,OK,Male,White,Lung
