,Year,Larynx,State,Gender,Race,Cancer
0,1999,5.7,OR,Male,White,Larynx
1,2000,5.6,OR,Male,White,Larynx
2,2001,5.2,OR,Male,White,Larynx
3,2002,5.3,OR,Male,White,Larynx
4,2003,5.6,OR,Male,White,Larynx
5,2004,5.2,OR,Male,White,Larynx
6,2005,5.1,OR,Male,White,Larynx
7,2006,5.9,OR,Male,White,Larynx
8,2007,5.3,OR,Male,White,Larynx
9,2008,5.2,OR,Male,White,Larynx
10,2009,4.5,OR,Male,White,Larynx
11,2010,4.8,OR,Male,White,Larynx
12,2011,4.7,OR,Male,White,Larynx
13,2012,4.9,OR,Male,White,Larynx
14,2013,5.6,OR,Male,White,Larynx
15,2014,5.3,OR,Male,White,Larynx
16,2015,5.1,OR,Male,White,Larynx
0,2016,4.84657589438235,OR,Male,White,Larynx
1,2017,1.7728809063458435,OR,Male,White,Larynx
2,2018,2.5914344271462184,OR,Male,White,Larynx
3,2019,2.8046490412831346,OR,Male,White,Larynx
4,2020,3.507355548302557,OR,Male,White,Larynx
5,2021,2.7307063496699797,OR,Male,White,Larynx
6,2022,0.6771923327314193,OR,Male,White,Larynx
7,2023,0.24237831809644228,OR,Male,White,Larynx
8,2024,0.5673376321511245,OR,Male,White,Larynx
9,2025,0.7396715161611347,OR,Male,White,Larynx
