,Year,Lung,State,Gender,Race,Cancer
0,1999,55.9,PA,Female,Black or African American,Lung
1,2000,55.1,PA,Female,Black or African American,Lung
2,2001,64.5,PA,Female,Black or African American,Lung
3,2002,66.8,PA,Female,Black or African American,Lung
4,2003,62.5,PA,Female,Black or African American,Lung
5,2004,62.6,PA,Female,Black or African American,Lung
6,2005,66.6,PA,Female,Black or African American,Lung
7,2006,66.5,PA,Female,Black or African American,Lung
8,2007,63.8,PA,Female,Black or African American,Lung
9,2008,66.7,PA,Female,Black or African American,Lung
10,2009,69.0,PA,Female,Black or African American,Lung
11,2010,68.6,PA,Female,Black or African American,Lung
12,2011,64.8,PA,Female,Black or African American,Lung
13,2012,61.6,PA,Female,Black or African American,Lung
14,2013,67.1,PA,Female,Black or African American,Lung
15,2014,62.7,PA,Female,Black or African American,Lung
16,2015,66.3,PA,Female,Black or African American,Lung
0,2016,59.57288724331365,PA,Female,Black or African American,Lung
1,2017,52.94735093494092,PA,Female,Black or African American,Lung
2,2018,13.98179002412573,PA,Female,Black or African American,Lung
3,2019,62.923194338091974,PA,Female,Black or African American,Lung
4,2020,0.0,PA,Female,Black or African American,Lung
5,2021,101.41091186286707,PA,Female,Black or African American,Lung
6,2022,0.0,PA,Female,Black or African American,Lung
7,2023,253.78987472105342,PA,Female,Black or African American,Lung
8,2024,0.0,PA,Female,Black or African American,Lung
9,2025,650.707201769932,PA,Female,Black or African American,Lung
