,Year,Lung,State,Gender,Race,Cancer
0,1999,95.2,PA,Male,Black or African American,Lung
1,2000,82.5,PA,Male,Black or African American,Lung
2,2001,85.8,PA,Male,Black or African American,Lung
3,2002,84.3,PA,Male,Black or African American,Lung
4,2003,77.0,PA,Male,Black or African American,Lung
5,2004,78.8,PA,Male,Black or African American,Lung
6,2005,85.1,PA,Male,Black or African American,Lung
7,2006,72.3,PA,Male,Black or African American,Lung
8,2007,76.6,PA,Male,Black or African American,Lung
9,2008,69.0,PA,Male,Black or African American,Lung
10,2009,77.1,PA,Male,Black or African American,Lung
11,2010,72.1,PA,Male,Black or African American,Lung
12,2011,73.0,PA,Male,Black or African American,Lung
13,2012,62.4,PA,Male,Black or African American,Lung
14,2013,67.2,PA,Male,Black or African American,Lung
15,2014,63.1,PA,Male,Black or African American,Lung
16,2015,60.8,PA,Male,Black or African American,Lung
0,2016,62.41079049878694,PA,Male,Black or African American,Lung
1,2017,79.01710715882545,PA,Male,Black or African American,Lung
2,2018,47.733755212937,PA,Male,Black or African American,Lung
3,2019,82.6549353678852,PA,Male,Black or African American,Lung
4,2020,12.911301432533662,PA,Male,Black or African American,Lung
5,2021,83.58585001735693,PA,Male,Black or African American,Lung
6,2022,0.0,PA,Male,Black or African American,Lung
7,2023,133.9402086819405,PA,Male,Black or African American,Lung
8,2024,0.0,PA,Male,Black or African American,Lung
9,2025,236.63505395121632,PA,Male,Black or African American,Lung
