,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.1,PA,Male,Black or African American,Larynx
1,2000,9.6,PA,Male,Black or African American,Larynx
2,2001,9.5,PA,Male,Black or African American,Larynx
3,2002,8.1,PA,Male,Black or African American,Larynx
4,2003,8.9,PA,Male,Black or African American,Larynx
5,2004,10.6,PA,Male,Black or African American,Larynx
6,2005,8.0,PA,Male,Black or African American,Larynx
7,2006,6.9,PA,Male,Black or African American,Larynx
8,2007,7.5,PA,Male,Black or African American,Larynx
9,2008,8.4,PA,Male,Black or African American,Larynx
10,2009,8.0,PA,Male,Black or African American,Larynx
11,2010,7.2,PA,Male,Black or African American,Larynx
12,2011,6.3,PA,Male,Black or African American,Larynx
13,2012,7.7,PA,Male,Black or African American,Larynx
14,2013,6.8,PA,Male,Black or African American,Larynx
15,2014,7.0,PA,Male,Black or African American,Larynx
16,2015,5.7,PA,Male,Black or African American,Larynx
0,2016,6.274415167278264,PA,Male,Black or African American,Larynx
1,2017,6.3238410860177465,PA,Male,Black or African American,Larynx
2,2018,6.6917753612581805,PA,Male,Black or African American,Larynx
3,2019,6.175861781982498,PA,Male,Black or African American,Larynx
4,2020,1.985472284882734,PA,Male,Black or African American,Larynx
5,2021,4.613324686145277,PA,Male,Black or African American,Larynx
6,2022,0.0,PA,Male,Black or African American,Larynx
7,2023,5.076499323892238,PA,Male,Black or African American,Larynx
8,2024,0.0,PA,Male,Black or African American,Larynx
9,2025,6.468964355478235,PA,Male,Black or African American,Larynx
