,Year,Lung,State,Gender,Race,Cancer
0,1999,68.6,PA,Female,White,Lung
1,2000,71.2,PA,Female,White,Lung
2,2001,73.4,PA,Female,White,Lung
3,2002,75.3,PA,Female,White,Lung
4,2003,74.8,PA,Female,White,Lung
5,2004,75.7,PA,Female,White,Lung
6,2005,78.7,PA,Female,White,Lung
7,2006,79.2,PA,Female,White,Lung
8,2007,82.8,PA,Female,White,Lung
9,2008,82.0,PA,Female,White,Lung
10,2009,81.9,PA,Female,White,Lung
11,2010,79.9,PA,Female,White,Lung
12,2011,80.6,PA,Female,White,Lung
13,2012,80.6,PA,Female,White,Lung
14,2013,82.2,PA,Female,White,Lung
15,2014,84.0,PA,Female,White,Lung
16,2015,86.6,PA,Female,White,Lung
0,2016,87.94884112523283,PA,Female,White,Lung
1,2017,0.0,PA,Female,White,Lung
2,2018,0.0,PA,Female,White,Lung
3,2019,0.0,PA,Female,White,Lung
4,2020,46.39891327369038,PA,Female,White,Lung
5,2021,49.45664104112116,PA,Female,White,Lung
6,2022,15.354353965504018,PA,Female,White,Lung
7,2023,0.0,PA,Female,White,Lung
8,2024,0.0,PA,Female,White,Lung
9,2025,0.555259755073731,PA,Female,White,Lung
