,Year,Larynx,State,Gender,Race,Cancer
0,1999,1.9,PA,Female,White,Larynx
1,2000,2.0,PA,Female,White,Larynx
2,2001,2.0,PA,Female,White,Larynx
3,2002,2.2,PA,Female,White,Larynx
4,2003,2.4,PA,Female,White,Larynx
5,2004,2.6,PA,Female,White,Larynx
6,2005,1.6,PA,Female,White,Larynx
7,2006,2.0,PA,Female,White,Larynx
8,2007,1.9,PA,Female,White,Larynx
9,2008,1.7,PA,Female,White,Larynx
10,2009,2.2,PA,Female,White,Larynx
11,2010,1.9,PA,Female,White,Larynx
12,2011,2.3,PA,Female,White,Larynx
13,2012,1.8,PA,Female,White,Larynx
14,2013,2.3,PA,Female,White,Larynx
15,2014,2.2,PA,Female,White,Larynx
16,2015,2.0,PA,Female,White,Larynx
0,2016,2.156158917253916,PA,Female,White,Larynx
1,2017,2.005783873588747,PA,Female,White,Larynx
2,2018,1.2846408553122748,PA,Female,White,Larynx
3,2019,1.7152898109711132,PA,Female,White,Larynx
4,2020,1.0242110547429475,PA,Female,White,Larynx
5,2021,1.0727472740341673,PA,Female,White,Larynx
6,2022,0.4571029965100286,PA,Female,White,Larynx
7,2023,0.7063656270780201,PA,Female,White,Larynx
8,2024,0.25711236253584113,PA,Female,White,Larynx
9,2025,0.5546742433865068,PA,Female,White,Larynx
