,Year,Lung,State,Gender,Race,Cancer
0,1999,98.5,PA,Male,White,Lung
1,2000,99.1,PA,Male,White,Lung
2,2001,100.5,PA,Male,White,Lung
3,2002,100.3,PA,Male,White,Lung
4,2003,100.9,PA,Male,White,Lung
5,2004,97.9,PA,Male,White,Lung
6,2005,100.0,PA,Male,White,Lung
7,2006,99.9,PA,Male,White,Lung
8,2007,99.0,PA,Male,White,Lung
9,2008,98.1,PA,Male,White,Lung
10,2009,97.5,PA,Male,White,Lung
11,2010,96.3,PA,Male,White,Lung
12,2011,97.5,PA,Male,White,Lung
13,2012,95.8,PA,Male,White,Lung
14,2013,95.8,PA,Male,White,Lung
15,2014,94.8,PA,Male,White,Lung
16,2015,94.1,PA,Male,White,Lung
0,2016,94.06029065926774,PA,Male,White,Lung
1,2017,60.59633503295823,PA,Male,White,Lung
2,2018,45.96787877501426,PA,Male,White,Lung
3,2019,21.026301286932693,PA,Male,White,Lung
4,2020,5.180550422891024,PA,Male,White,Lung
5,2021,0.0,PA,Male,White,Lung
6,2022,4.074276141129975,PA,Male,White,Lung
7,2023,0.0,PA,Male,White,Lung
8,2024,0.0,PA,Male,White,Lung
9,2025,0.0,PA,Male,White,Lung
