,Year,Nasal,State,Gender,Race,Cancer
0,1999,1.0,PA,Male,White,Nasal
1,2000,1.0,PA,Male,White,Nasal
2,2001,0.7,PA,Male,White,Nasal
3,2002,1.1,PA,Male,White,Nasal
4,2003,1.2,PA,Male,White,Nasal
5,2004,0.9,PA,Male,White,Nasal
6,2005,1.1,PA,Male,White,Nasal
7,2006,1.1,PA,Male,White,Nasal
8,2007,1.2,PA,Male,White,Nasal
9,2008,1.1,PA,Male,White,Nasal
10,2009,1.1,PA,Male,White,Nasal
11,2010,1.1,PA,Male,White,Nasal
12,2011,0.8,PA,Male,White,Nasal
13,2012,1.0,PA,Male,White,Nasal
14,2013,1.2,PA,Male,White,Nasal
15,2014,1.1,PA,Male,White,Nasal
16,2015,1.0,PA,Male,White,Nasal
0,2016,1.0312675887063185,PA,Male,White,Nasal
1,2017,0.6449124717930517,PA,Male,White,Nasal
2,2018,0.9206136234582152,PA,Male,White,Nasal
3,2019,0.3804222793339257,PA,Male,White,Nasal
4,2020,0.4156243591495712,PA,Male,White,Nasal
5,2021,0.26150503461702646,PA,Male,White,Nasal
6,2022,0.14630593877077305,PA,Male,White,Nasal
7,2023,0.27507092836536345,PA,Male,White,Nasal
8,2024,0.018885942835471393,PA,Male,White,Nasal
9,2025,0.1451875142546895,PA,Male,White,Nasal
