,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.1,PA,Male,White,Larynx
1,2000,8.0,PA,Male,White,Larynx
2,2001,8.8,PA,Male,White,Larynx
3,2002,8.4,PA,Male,White,Larynx
4,2003,8.0,PA,Male,White,Larynx
5,2004,9.0,PA,Male,White,Larynx
6,2005,8.4,PA,Male,White,Larynx
7,2006,8.2,PA,Male,White,Larynx
8,2007,8.7,PA,Male,White,Larynx
9,2008,8.8,PA,Male,White,Larynx
10,2009,7.1,PA,Male,White,Larynx
11,2010,8.3,PA,Male,White,Larynx
12,2011,8.4,PA,Male,White,Larynx
13,2012,8.0,PA,Male,White,Larynx
14,2013,7.9,PA,Male,White,Larynx
15,2014,8.2,PA,Male,White,Larynx
16,2015,7.9,PA,Male,White,Larynx
0,2016,7.852481996399096,PA,Male,White,Larynx
1,2017,8.591607452357225,PA,Male,White,Larynx
2,2018,7.61721798827231,PA,Male,White,Larynx
3,2019,5.4660823990416185,PA,Male,White,Larynx
4,2020,4.421312815669947,PA,Male,White,Larynx
5,2021,5.830057813688775,PA,Male,White,Larynx
6,2022,0.6928417837893983,PA,Male,White,Larynx
7,2023,5.1780777325774485,PA,Male,White,Larynx
8,2024,0.08936974627453864,PA,Male,White,Larynx
9,2025,3.84941419780991,PA,Male,White,Larynx
