,Year,Lung,State,Gender,Race,Cancer
0,1999,106.6,RI,Male,White,Lung
1,2000,106.9,RI,Male,White,Lung
2,2001,102.4,RI,Male,White,Lung
3,2002,100.9,RI,Male,White,Lung
4,2003,97.7,RI,Male,White,Lung
5,2004,103.7,RI,Male,White,Lung
6,2005,93.4,RI,Male,White,Lung
7,2006,90.8,RI,Male,White,Lung
8,2007,105.7,RI,Male,White,Lung
9,2008,94.6,RI,Male,White,Lung
10,2009,96.9,RI,Male,White,Lung
11,2010,83.6,RI,Male,White,Lung
12,2011,90.2,RI,Male,White,Lung
13,2012,97.4,RI,Male,White,Lung
14,2013,93.6,RI,Male,White,Lung
15,2014,96.4,RI,Male,White,Lung
16,2015,93.2,RI,Male,White,Lung
0,2016,93.56569024897519,RI,Male,White,Lung
1,2017,72.55242925013357,RI,Male,White,Lung
2,2018,70.1038910551203,RI,Male,White,Lung
3,2019,49.81217588283707,RI,Male,White,Lung
4,2020,46.54560416792164,RI,Male,White,Lung
5,2021,0.0,RI,Male,White,Lung
6,2022,40.78117666837326,RI,Male,White,Lung
7,2023,0.0,RI,Male,White,Lung
8,2024,19.93238992913568,RI,Male,White,Lung
9,2025,0.0,RI,Male,White,Lung
