,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.9,RI,Male,White,Larynx
1,2000,7.0,RI,Male,White,Larynx
2,2001,7.4,RI,Male,White,Larynx
3,2002,7.2,RI,Male,White,Larynx
4,2003,9.3,RI,Male,White,Larynx
5,2004,9.5,RI,Male,White,Larynx
6,2005,10.5,RI,Male,White,Larynx
7,2006,11.2,RI,Male,White,Larynx
8,2007,7.1,RI,Male,White,Larynx
9,2008,10.5,RI,Male,White,Larynx
10,2009,9.2,RI,Male,White,Larynx
11,2010,9.9,RI,Male,White,Larynx
12,2011,9.9,RI,Male,White,Larynx
13,2012,6.3,RI,Male,White,Larynx
14,2013,8.6,RI,Male,White,Larynx
15,2014,6.8,RI,Male,White,Larynx
16,2015,6.4,RI,Male,White,Larynx
0,2016,8.11329532656115,RI,Male,White,Larynx
1,2017,2.389170831410576,RI,Male,White,Larynx
2,2018,2.2252894688355616,RI,Male,White,Larynx
3,2019,0.5109826631621108,RI,Male,White,Larynx
4,2020,2.0115755484369844,RI,Male,White,Larynx
5,2021,0.4964872586972251,RI,Male,White,Larynx
6,2022,0.0,RI,Male,White,Larynx
7,2023,0.9079693115204608,RI,Male,White,Larynx
8,2024,0.0,RI,Male,White,Larynx
9,2025,1.9577619827022723,RI,Male,White,Larynx
