,Year,Lung,State,Gender,Race,Cancer
0,1999,74.5,SC,Male,Black or African American,Lung
1,2000,76.9,SC,Male,Black or African American,Lung
2,2001,75.4,SC,Male,Black or African American,Lung
3,2002,74.5,SC,Male,Black or African American,Lung
4,2003,78.6,SC,Male,Black or African American,Lung
5,2004,71.9,SC,Male,Black or African American,Lung
6,2005,77.2,SC,Male,Black or African American,Lung
7,2006,75.8,SC,Male,Black or African American,Lung
8,2007,70.6,SC,Male,Black or African American,Lung
9,2008,73.4,SC,Male,Black or African American,Lung
10,2009,79.3,SC,Male,Black or African American,Lung
11,2010,74.9,SC,Male,Black or African American,Lung
12,2011,74.0,SC,Male,Black or African American,Lung
13,2012,75.8,SC,Male,Black or African American,Lung
14,2013,75.3,SC,Male,Black or African American,Lung
15,2014,75.8,SC,Male,Black or African American,Lung
16,2015,79.4,SC,Male,Black or African American,Lung
0,2016,75.32131455179056,SC,Male,Black or African American,Lung
1,2017,72.74175634391125,SC,Male,Black or African American,Lung
2,2018,95.55977443013424,SC,Male,Black or African American,Lung
3,2019,53.44951583564341,SC,Male,Black or African American,Lung
4,2020,69.45504274750782,SC,Male,Black or African American,Lung
5,2021,54.041978551084874,SC,Male,Black or African American,Lung
6,2022,21.50465596116662,SC,Male,Black or African American,Lung
7,2023,54.385451498982526,SC,Male,Black or African American,Lung
8,2024,31.232734524470953,SC,Male,Black or African American,Lung
9,2025,17.088602576194152,SC,Male,Black or African American,Lung
