,Year,Larynx,State,Gender,Race,Cancer
0,1999,9.0,SC,Male,Black or African American,Larynx
1,2000,10.8,SC,Male,Black or African American,Larynx
2,2001,10.9,SC,Male,Black or African American,Larynx
3,2002,9.4,SC,Male,Black or African American,Larynx
4,2003,12.8,SC,Male,Black or African American,Larynx
5,2004,12.8,SC,Male,Black or African American,Larynx
6,2005,10.5,SC,Male,Black or African American,Larynx
7,2006,11.0,SC,Male,Black or African American,Larynx
8,2007,10.1,SC,Male,Black or African American,Larynx
9,2008,11.7,SC,Male,Black or African American,Larynx
10,2009,11.1,SC,Male,Black or African American,Larynx
11,2010,13.3,SC,Male,Black or African American,Larynx
12,2011,11.3,SC,Male,Black or African American,Larynx
13,2012,8.5,SC,Male,Black or African American,Larynx
14,2013,10.6,SC,Male,Black or African American,Larynx
15,2014,10.7,SC,Male,Black or African American,Larynx
16,2015,10.6,SC,Male,Black or African American,Larynx
0,2016,11.537965582746141,SC,Male,Black or African American,Larynx
1,2017,8.454504558660114,SC,Male,Black or African American,Larynx
2,2018,8.610075830909693,SC,Male,Black or African American,Larynx
3,2019,8.12398049571507,SC,Male,Black or African American,Larynx
4,2020,9.028343578757234,SC,Male,Black or African American,Larynx
5,2021,4.642343322782571,SC,Male,Black or African American,Larynx
6,2022,3.843275330710746,SC,Male,Black or African American,Larynx
7,2023,3.312199775816958,SC,Male,Black or African American,Larynx
8,2024,3.2757007863868393,SC,Male,Black or African American,Larynx
9,2025,3.3456400031474747,SC,Male,Black or African American,Larynx
