,Year,Lung,State,Gender,Race,Cancer
0,1999,64.5,SC,Female,White,Lung
1,2000,67.8,SC,Female,White,Lung
2,2001,70.1,SC,Female,White,Lung
3,2002,68.6,SC,Female,White,Lung
4,2003,72.0,SC,Female,White,Lung
5,2004,71.1,SC,Female,White,Lung
6,2005,77.4,SC,Female,White,Lung
7,2006,77.9,SC,Female,White,Lung
8,2007,79.2,SC,Female,White,Lung
9,2008,78.1,SC,Female,White,Lung
10,2009,78.6,SC,Female,White,Lung
11,2010,78.4,SC,Female,White,Lung
12,2011,77.7,SC,Female,White,Lung
13,2012,84.9,SC,Female,White,Lung
14,2013,82.6,SC,Female,White,Lung
15,2014,82.1,SC,Female,White,Lung
16,2015,83.1,SC,Female,White,Lung
0,2016,84.1418855605457,SC,Female,White,Lung
1,2017,46.68119239018081,SC,Female,White,Lung
2,2018,47.05941225080215,SC,Female,White,Lung
3,2019,48.69635281691866,SC,Female,White,Lung
4,2020,44.54382369876715,SC,Female,White,Lung
5,2021,14.077099876999771,SC,Female,White,Lung
6,2022,19.33751439768845,SC,Female,White,Lung
7,2023,12.054068295384255,SC,Female,White,Lung
8,2024,21.709747659591102,SC,Female,White,Lung
9,2025,9.146590715131154,SC,Female,White,Lung
